championName,riotIdGameName,riotIdTagline,summoner1Id,summoner2Id,deaths,kills,assists,champExperience,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,damageDealtToBuildings,damageDealtToObjectives,turretKills,inhibitorKills,visionScore,wardsPlaced,wardsKilled,goldEarned,goldSpent,earlyLaningPhaseGoldExpAdvantage,firstBloodAssist,firstBloodKill,gameEndedInEarlySurrender,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,objectivesStolen,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,quadraKills,tripleKills,doubleKills,baronKills,bountyLevel,alliedJungleMonsterKills,baronTakedowns,buffsStolen,controlWardsPlaced,damagePerMinute,dragonTakedowns,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,gameLength,goldPerMinute,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kda,killAfterHiddenWithAlly,killParticipation,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laningPhaseGoldExpAdvantage,riftHeraldTakedowns,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedowns,takedownsBeforeJungleMinionSpawn,takedownsInAlcove,teamBaronKills,teamDamagePercentage,teamRiftHeraldKills,turretTakedowns,voidMonsterKill,win,teamId
Kayn,Ezilium,br1,11,4,2,9,5,13115,211237,18192,31552,5201,45100,3,0,19,4,0,11334,8750,0.0,False,False,False,4,2,490,0,78,30,0,267,48,0,0,2,0,9,49,0,5,2,770.3204234655947,2,14,14,0,1,0,1416.98111453,479.9566106783149,3,3,1,64.50000008940697,0,7.0,0,0.42424242424242425,1,,0,0,0,0.0,1,2,0,4,14,0,1,0,0.18888960232741955,1,5,7,True,100
Kindred,Linha De Pipa,Cerol,4,11,8,3,7,9435,132270,9239,28084,0,5742,0,0,21,3,7,7659,7258,0.0,False,False,False,0,1,302,0,71,8,600,144,164,0,0,0,0,3,47,0,0,1,391.22307096441074,1,0,4,0,0,0,1416.98111453,324.33495351043365,0,1,1,44.00000002980232,0,1.25,0,0.47619047619047616,1,,1,0,4,0.0,0,0,0,2,10,0,0,0,0.15697790336594677,0,0,0,False,200
Kayn,Ezilium,br1,11,4,3,8,13,16244,272874,27583,41416,3268,43496,1,0,42,4,3,13047,11350,0.0,True,False,False,4,3,568,0,112,22,0,357,104,0,1,1,0,8,63,0,3,2,860.2891959436138,4,19,12,0,1,0,1923.8033377220002,406.9392533007077,9,2,1,58.000000059604645,0,7.0,5,0.6363636363636364,0,,1,0,0,0.0,1,1,0,2,21,1,0,0,0.24139106445691733,1,5,8,True,100
Skarner,dartora,BR11,4,11,9,9,11,14884,231315,22836,50007,0,5702,0,0,24,5,3,12649,11400,0.0,False,False,False,3,1,349,0,118,8,0,660,228,0,0,0,0,9,72,0,0,4,712.2316538004158,0,27,12,0,0,0,1923.8033377220002,394.5013367010393,6,2,1,42.00000002980232,0,2.2222222222222223,0,0.8333333333333334,0,,1,0,0,0.0,0,0,0,0,20,0,3,0,0.23328348561189735,0,0,0,False,200
Kayn,Ezilium,br1,11,4,6,10,13,15867,239889,23967,48392,4440,37506,1,0,46,14,9,13888,13450,0.0,False,False,False,4,2,520,1,0,0,0,373,204,0,0,1,1,10,0,1,7,3,772.9671405993596,1,16,0,5,0,1,1860.432921521,447.91392312735087,9,2,1,56.000000059604645,0,3.8333333333333335,1,0.5609756097560976,1,,0,0,0,0.0,1,2,0,4,23,0,1,1,0.17520433711112907,1,6,7,True,100
Nocturne,Popeie,Br02,4,11,9,5,10,14402,265883,19753,39204,2459,14538,0,0,31,13,1,11895,11750,0.0,False,False,False,2,1,333,0,0,0,0,562,277,0,0,0,0,5,0,0,11,6,637.0537774312987,1,8,0,0,0,0,1860.432921521,383.62215213140325,4,2,1,62.00000008940697,0,1.6666666666666667,0,0.38461538461538464,1,,0,0,5,0.0,0,0,0,2,15,0,0,0,0.15867692028421884,0,0,1,False,200
Kindred,celin vida mansa,eeeee,4,11,7,2,8,10113,165112,15943,32402,21,21487,0,0,11,3,1,8620,7833,0.0,True,False,False,2,2,842,0,0,0,3805,213,206,0,0,1,0,2,0,0,8,0,661.8533875776781,1,0,0,3,0,0,1445.351196945,357.8776478769078,0,2,2,62.00000002980232,0,1.4285714285714286,1,0.8333333333333334,0,,0,0,3,0.0,0,0,0,2,10,0,0,0,0.2525652863349546,0,0,5,False,100
Kayn,Ezilium,br1,11,4,2,5,3,12663,206422,10882,27221,4297,29129,0,0,19,5,3,9389,8075,0.0,False,False,False,4,2,665,1,0,0,0,317,45,0,0,1,0,5,0,0,6,4,451.77817431512995,1,7,0,2,0,1,1445.351196945,389.78844214268037,5,2,0,64.00000008940697,0,4.0,0,0.25,1,,0,0,0,0.0,1,1,0,4,8,0,0,0,0.13657809417234457,1,3,2,True,200
Kayn,Ezilium,br1,11,4,0,1,2,4785,92098,1618,10741,0,13605,0,0,5,3,0,4490,3900,0.0,True,False,False,0,1,0,0,0,0,0,144,0,0,0,0,0,1,0,0,4,1,134.0598137446074,0,0,0,0,0,0,724.4858891450001,371.9090130923491,0,2,1,72.00000008940697,0,3.0,1,0.5,0,,0,0,0,,0,0,0,2,3,0,0,0,0.0849313289558043,0,0,6,True,100
Rengar,Caos,カオス,4,11,0,1,1,4288,71097,1750,9998,0,5500,0,0,8,4,0,4000,3725,0.0,False,False,False,0,1,0,0,0,0,0,182,0,0,0,0,0,1,0,0,4,0,144.9636800365345,1,0,0,0,0,0,724.4858891450001,331.28213000652255,0,2,1,64.00000005960464,0,2.0,1,0.5,0,,1,0,0,,0,0,0,2,2,0,0,0,0.09339739571567848,0,0,0,False,200
