championName,riotIdGameName,riotIdTagline,summoner1Id,summoner2Id,deaths,kills,assists,champExperience,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,damageDealtToBuildings,damageDealtToObjectives,turretKills,inhibitorKills,visionScore,wardsPlaced,wardsKilled,goldEarned,goldSpent,earlyLaningPhaseGoldExpAdvantage,firstBloodAssist,firstBloodKill,gameEndedInEarlySurrender,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,objectivesStolen,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,quadraKills,tripleKills,doubleKills,baronKills,bountyLevel,alliedJungleMonsterKills,baronTakedowns,buffsStolen,controlWardsPlaced,damagePerMinute,dragonTakedowns,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,gameLength,goldPerMinute,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kda,killAfterHiddenWithAlly,killParticipation,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laningPhaseGoldExpAdvantage,riftHeraldTakedowns,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedowns,takedownsBeforeJungleMinionSpawn,takedownsInAlcove,teamBaronKills,teamDamagePercentage,teamRiftHeraldKills,turretTakedowns,voidMonsterKill,win,teamId
Udyr,Mori no Kage,1015,11,4,6,4,5,8901,167393,10878,25855,0,12273,0,0,18,4,5,8200,8150,0.0,False,False,False,2,1,569,1,99,0,0,1575,185,0,0,0,0,4,69,0,0,0,484.0811092333399,1,12,0,1,0,1,1348.3102945340001,364.9036875503091,3,2,1,62.000000059604645,0,1.5,0,0.375,0,,0,0,0,0.0,0,1,0,0,9,0,0,0,0.13693770215233603,0,0,4,False,100
Graves,ThierryPrime,LAN,11,4,5,20,3,15065,232945,27787,23737,0,38808,0,0,20,4,8,14404,12575,0.0,False,True,False,7,3,477,0,108,6,0,428,128,0,1,4,0,20,77,0,0,1,1236.5669128216068,2,0,3,1,1,0,1348.3102945340001,641.0154241321825,0,2,1,48.00000008940697,1,4.6,3,0.6764705882352942,4,,0,0,7,0.0,1,4,0,2,23,0,0,0,0.3087547909816386,1,0,3,True,200
Khazix,Gøer,LAN,11,14,8,6,2,10407,172391,19424,30154,0,15721,0,0,19,6,1,8919,8800,1.0,True,False,False,3,1,314,0,67,25,0,176,159,0,0,0,0,6,41,0,3,0,775.1851064762433,0,0,19,0,0,0,1503.477995466,355.9557520887591,0,3,2,53.500000059604645,0,1.0,0,0.4,1,,1,0,5,0.0,0,2,0,0,8,0,0,0,0.23284500008908413,0,0,6,False,100
Poppy,Mori no Kage,1015,11,4,3,3,12,12624,153284,9083,23076,4459,24268,1,1,21,4,6,8783,7450,0.0,False,False,False,3,1,767,0,63,23,0,479,47,0,0,0,0,3,50,0,1,0,362.4978098198411,2,24,23,0,0,0,1503.477995466,350.5171514368649,12,1,0,44.50000011920929,0,5.0,2,0.5172413793103449,2,,0,11,0,0.0,1,0,0,2,15,0,0,0,0.10835043399589235,1,2,1,True,200
Lillia,Verdict,9108,4,11,6,4,5,12548,240153,20670,38665,1579,39087,1,0,18,4,2,11298,11125,0.0,False,False,False,3,1,845,0,100,14,0,367,160,0,0,0,0,4,67,0,2,1,725.7259950251431,0,8,10,0,0,0,1708.9785466580001,396.6612842072488,2,2,1,73.75000008940697,1,1.5,4,0.36,0,,0,0,1,0.0,1,0,0,2,9,0,0,0,0.24533644058992704,1,2,7,False,100
Viego,Real Uzi,时光回溯,11,4,7,7,6,16769,284364,11960,30074,1278,32380,2,1,25,1,8,12442,11500,0.0,False,False,False,3,2,392,0,127,26,0,218,201,0,0,1,0,7,94,1,2,0,419.9291578460146,4,12,28,0,3,0,1708.9785466580001,436.8371469378066,7,2,1,62.00000008940697,0,1.8571428571428572,1,0.29545454545454547,1,,1,1,4,0.0,0,0,0,0,13,0,0,1,0.10491368357863662,0,3,1,True,200
Ivern,jamican banana,NA1,11,4,5,14,21,27901,476040,67093,32206,3277,52881,0,1,71,20,10,20304,19325,0.0,False,False,False,5,2,714,0,166,28,0,629,198,0,0,3,1,14,110,1,4,2,1475.1309178898982,3,109,12,1,1,0,2728.99856374,446.42603767272294,19,2,1,58.50000008940697,0,7.0,6,0.6730769230769231,1,,1,0,2,0.0,1,2,0,10,35,0,0,2,0.23963787019506655,1,3,5,True,100
Shyvana,Verdict,9108,4,11,11,14,11,21090,440845,46315,76420,58,24109,0,0,34,5,8,18759,17950,0.0,False,False,False,3,2,532,0,163,8,0,271,389,0,0,1,0,14,122,0,1,2,1018.3069210529493,3,9,7,1,0,0,2728.99856374,412.45014721899906,2,2,1,55.750000059604645,0,2.272727272727273,0,0.6578947368421053,1,,2,2,3,0.0,0,1,0,18,25,0,0,0,0.2456626469079406,0,0,1,False,200
Lillia,Verdict,9108,4,11,2,6,7,6860,133034,8351,17735,0,9954,0,0,6,2,0,7480,5300,0.0,False,False,False,3,2,459,0,53,26,0,233,30,0,0,1,0,6,43,0,1,0,545.6956893078967,0,1,24,0,0,0,918.2164127350001,488.78961670992175,1,2,1,55.70000010728836,0,6.5,1,0.5652173913043478,2,,0,0,0,0.0,0,1,0,0,13,0,0,0,0.17738477354219068,0,0,2,True,100
Viego,blaberfish2,NA1,4,11,5,2,5,4850,83209,4251,16008,0,15330,0,0,14,3,1,5322,4975,0.0,False,False,False,2,1,291,0,42,4,0,116,88,0,0,0,0,2,26,0,0,2,277.80416704089464,1,10,3,0,0,0,918.2164127350001,347.77468301164015,3,2,1,47.750000059604645,0,1.4,0,0.5,0,,1,1,2,0.0,0,0,0,2,7,0,0,0,0.09843180034140381,0,0,4,False,200
Udyr,Verdict,9108,4,11,7,13,12,21867,394030,48320,55513,1340,53544,0,1,41,2,11,17025,15500,1.0,False,False,False,6,2,762,0,85,54,0,2604,302,0,0,3,0,13,62,0,2,2,1212.0608976018939,4,18,40,1,1,0,2391.984934079,427.06098309658586,6,2,1,61.75000008940697,1,3.5714285714285716,2,0.5813953488372093,3,,1,0,0,0.0,1,2,0,8,25,0,0,0,0.2271850522071083,1,1,7,False,100
Hecarim,HAPPYPLAYER41,TWTV,6,11,6,10,26,24322,413501,49392,79542,3286,29630,0,0,19,2,1,18499,16650,0.0,False,False,False,3,1,584,0,125,31,0,303,162,0,0,0,0,10,88,2,2,0,1238.9534426106559,2,104,23,0,1,0,2391.984934079,464.02676841686235,17,2,1,52.00000008940697,0,6.0,4,0.7058823529411765,1,,3,16,0,0.0,0,1,2,13,36,0,0,2,0.20432601709001955,0,4,3,True,200
Taliyah,ImNxi,NA1,4,11,4,2,1,5682,105211,5541,12001,0,8188,0,0,12,2,2,5728,5425,0.0,False,False,False,0,1,470,0,70,0,0,560,94,0,0,0,0,2,49,0,0,1,363.2575708459769,0,12,0,0,0,0,915.2825625580001,375.5229942072885,3,2,1,78.00000008940697,0,0.75,0,0.5,1,,0,3,0,0.0,0,0,0,0,3,0,0,0,0.19064103874162136,0,0,3,False,100
Pantheon,Grell,3010,4,11,0,10,1,7521,127249,6665,15284,0,18709,0,0,13,4,0,7671,6825,0.0,False,False,False,10,2,0,0,70,8,0,149,0,0,0,2,0,10,46,0,0,3,436.96406148036505,2,9,4,1,0,0,915.2825625580001,502.87781259853625,8,2,1,74.50000008940697,0,11.0,1,0.55,1,,1,0,0,1.0,0,0,0,0,11,0,1,0,0.16893707886196313,0,0,2,True,200
Lillia,eXyu,000,11,4,1,0,0,4813,94205,5235,14404,0,7626,0,0,19,3,5,4480,3875,0.0,False,False,False,0,0,601,0,51,8,0,197,20,0,0,0,0,0,35,0,0,1,344.6798149331938,0,1,12,0,0,0,911.302616454,294.9783058882439,0,1,1,58.00000011920929,0,0.0,0,0.0,0,,0,0,3,0.0,0,0,0,0,0,0,0,0,0.1651625681012878,0,0,3,False,100
Udyr,Verdict,9108,4,11,0,2,2,5946,98922,3829,12248,0,19966,0,0,15,2,2,5190,4350,0.0,False,False,False,2,1,0,0,33,26,0,846,0,0,0,0,0,2,23,0,2,2,252.15940483610402,2,3,23,1,0,0,911.302616454,341.7653098656183,0,3,1,63.750000059604645,0,4.0,0,0.4,0,,0,0,0,0.0,0,0,1,2,4,0,0,0,0.10040956135941795,0,0,3,True,200
Udyr,Verdict,9108,4,11,3,3,12,17437,314043,26018,34439,2430,39981,0,0,26,5,4,12194,9325,0.0,False,False,False,3,1,385,0,123,34,0,2108,74,0,0,0,1,3,79,1,2,1,933.0021217398963,1,17,29,0,0,0,1673.2269525430002,437.292168797972,6,2,1,81.75000008940697,0,5.0,1,0.6,1,,0,0,0,0.0,1,0,0,14,15,0,0,1,0.24140654750317822,1,3,5,True,100
Poppy,jamican banana,NA1,11,4,6,2,8,11673,214039,13869,33315,0,18654,0,0,33,3,12,10112,9800,0.0,False,False,False,0,1,400,1,111,0,0,770,163,0,0,0,0,2,78,0,0,2,497.36219163452864,3,37,0,1,0,1,1673.2269525430002,362.6110989548548,7,2,1,72.00000008940697,0,1.6666666666666667,3,0.6666666666666666,2,,0,8,0,0.0,0,1,0,4,10,0,0,0,0.19505471920735273,0,0,3,False,200
Khazix,Verdict,9108,4,11,10,6,4,10326,159350,12201,32289,0,5307,0,0,22,4,5,9565,9000,0.0,False,False,False,2,1,453,0,80,14,0,124,245,0,0,0,0,6,58,0,2,2,446.6908463643721,0,0,10,0,0,0,1638.931990497,350.19176610690516,0,2,1,62.000000059604645,0,1.0,2,0.47619047619047616,1,,0,0,3,0.0,0,0,0,0,10,0,0,0,0.14938344033919973,0,0,1,False,100
Graves,YouMasterGame,0213,11,4,5,15,5,15994,319589,23415,25095,8006,79363,5,0,20,1,4,15195,14275,0.0,False,True,False,4,2,462,1,114,33,0,442,139,0,0,4,0,15,73,1,2,1,857.2258824778683,4,2,21,2,0,1,1638.931990497,556.2902666791095,0,2,1,59.000000059604645,2,4.0,3,0.5714285714285714,5,,0,0,4,0.0,1,2,0,6,20,0,1,1,0.2568385700437956,1,5,8,True,200
Lillia,YouMasterGame,0213,11,4,0,5,3,8994,177144,6900,20176,0,20317,0,0,7,2,1,7670,6625,1.0,True,False,False,5,1,0,0,78,25,0,327,0,0,0,0,0,5,53,0,2,1,439.9594000966196,0,2,24,0,0,0,941.046793685,489.09021361355747,1,2,1,75.60000014305115,0,8.0,0,0.5333333333333333,2,,1,0,3,1.0,0,3,0,0,8,0,0,0,0.1916379102844268,0,0,6,True,100
Udyr,Verdict,9108,4,11,3,0,1,5699,89719,5160,13416,0,11808,0,0,14,3,3,4720,4375,0.0,False,False,False,0,0,417,0,52,10,0,828,51,0,0,0,0,0,29,0,0,3,329.0232240073306,2,2,9,0,0,0,941.046793685,301.000304123628,1,2,1,50.40000003576279,0,0.3333333333333333,0,0.25,0,,0,0,0,0.0,0,0,0,0,1,0,0,0,0.18920937653233025,0,0,0,False,200
JarvanIV,December 19th,J4HL,4,11,8,4,23,15993,244956,16652,36548,878,39882,0,0,18,1,3,12158,10225,0.0,True,False,False,3,1,474,0,80,31,0,537,144,0,0,0,1,4,50,1,4,1,557.0133699268843,2,18,19,4,0,0,1793.760733371,406.6982632789715,9,2,1,53.6000000834465,0,3.375,3,0.574468085106383,1,,0,0,0,0.0,1,0,0,2,27,0,0,1,0.11842800636614138,1,5,6,True,100
Udyr,Verdict,9108,4,11,8,11,9,16116,233415,21688,39656,708,9660,1,0,24,8,2,15041,14225,0.0,False,False,False,6,3,793,0,86,18,0,1994,223,0,1,3,0,11,55,0,1,3,725.4763427209822,1,11,11,2,0,0,1793.760733371,503.1220438805267,7,2,1,55.35000005364418,0,2.5,5,0.7407407407407407,1,,0,0,0,1.0,0,0,0,2,20,0,1,0,0.23415017011203823,0,1,2,False,200
MasterYi,no type,2007,4,11,7,6,2,7228,114966,7480,21011,0,10362,0,0,10,2,2,8327,7750,0.0,False,False,False,3,2,538,0,72,12,0,75,151,0,0,1,0,6,47,0,1,0,375.93161723272937,0,0,3,0,1,0,1193.949403304,418.4846777152588,0,3,2,52.000000059604645,0,1.1428571428571428,0,0.5333333333333333,2,,0,0,0,0.0,0,1,0,0,8,0,0,0,0.1389979824291635,0,0,3,False,100
Udyr,Verdict,9108,4,11,3,7,11,9395,153803,15475,23858,997,19658,0,0,16,4,2,8982,8475,0.0,False,False,False,3,2,570,0,59,16,0,1474,56,0,0,1,0,7,48,0,1,1,777.6776233612187,2,11,10,0,0,0,1193.949403304,451.4165949807166,9,1,0,44.500000059604645,0,6.0,0,0.5806451612903226,0,,0,0,0,0.0,0,0,0,7,18,0,0,0,0.2452939726966294,0,0,3,True,200
Udyr,Verdict,9108,4,11,0,6,7,8136,142893,7434,13218,130,23765,0,0,16,1,2,7912,7025,0.0,False,False,False,6,1,0,0,50,23,0,1241,0,0,0,0,0,6,37,0,0,1,459.49735721039826,1,6,26,0,0,0,970.8065985720001,489.03916791482766,5,1,2,62.80000013113022,0,13.0,2,0.6190476190476191,1,,0,0,0,0.0,0,1,1,0,13,0,0,0,0.15125507734031496,0,1,6,True,100
Karthus,U Say Ur Horse,NA1,4,11,5,6,2,6641,101533,9060,15397,0,0,0,0,5,2,0,7463,6100,0.0,False,False,False,2,2,251,0,70,4,0,81,95,0,0,1,0,6,41,0,1,0,559.9728842937319,0,0,1,0,0,0,970.8065985720001,461.2585980396891,0,3,0,50.700000047683716,0,1.6,0,1.0,1,,0,0,0,0.0,0,0,0,0,8,0,2,0,0.24888770079763925,0,0,0,False,200
Udyr,Verdict,9108,4,11,1,10,2,11239,190835,19470,20794,3614,17583,3,0,18,4,1,10921,10150,0.0,False,True,False,8,2,794,0,79,22,0,1569,32,0,0,1,0,10,52,0,2,1,965.7479586845496,0,13,14,0,0,0,1209.6341983510001,541.7436780316192,6,2,1,82.00000005960464,0,12.0,0,0.6666666666666666,4,,0,0,0,1.0,0,2,0,6,12,0,0,0,0.2922234434367499,1,7,5,True,100
Volibear,AnotherGanker,NA2,4,11,3,2,0,9065,171216,3258,19540,60,12966,0,0,12,0,5,7786,6800,0.0,False,False,False,0,1,280,0,103,2,0,404,48,0,0,0,0,2,76,0,0,0,161.6364087597006,2,7,2,0,0,0,1209.6341983510001,386.21756337008554,2,2,1,68.00000008940697,0,0.6666666666666666,0,0.2857142857142857,1,,0,0,0,0.0,0,0,0,0,2,0,0,0,0.06974281118242183,0,0,0,False,200
JarvanIV,Theatrics,NA11,11,4,8,2,6,11238,189881,12980,27831,368,9568,0,0,15,4,1,9061,8700,0.0,True,False,False,0,1,597,0,98,10,0,479,222,0,0,0,0,2,66,0,1,1,473.70836911054687,0,14,9,0,0,0,1644.068285541,330.68653825476514,2,2,1,73.50000008940697,0,1.0,0,0.5714285714285714,0,,0,0,0,0.0,0,0,0,6,8,0,0,0,0.1803493099012749,0,0,4,False,100
XinZhao,Steve,Range,11,4,3,12,7,16822,300939,30729,45608,1905,61833,2,0,16,3,3,13925,11300,0.0,False,False,False,4,2,673,0,99,47,0,731,111,0,0,2,1,12,63,1,3,2,1121.460603987802,4,24,35,0,0,0,1644.068285541,508.1975914971288,12,2,1,79.75000008940697,0,6.333333333333333,0,0.6333333333333333,2,,0,4,0,0.0,1,0,0,4,19,0,0,1,0.29205040329909254,1,3,2,True,200
