championName,riotIdGameName,riotIdTagline,summoner1Id,summoner2Id,deaths,kills,assists,champExperience,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,damageDealtToBuildings,damageDealtToObjectives,turretKills,inhibitorKills,visionScore,wardsPlaced,wardsKilled,goldEarned,goldSpent,earlyLaningPhaseGoldExpAdvantage,firstBloodAssist,firstBloodKill,gameEndedInEarlySurrender,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,objectivesStolen,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,quadraKills,tripleKills,doubleKills,baronKills,bountyLevel,alliedJungleMonsterKills,baronTakedowns,buffsStolen,controlWardsPlaced,damagePerMinute,dragonTakedowns,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,gameLength,goldPerMinute,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kda,killAfterHiddenWithAlly,killParticipation,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laningPhaseGoldExpAdvantage,riftHeraldTakedowns,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedowns,takedownsBeforeJungleMinionSpawn,takedownsInAlcove,teamBaronKills,teamDamagePercentage,teamRiftHeraldKills,turretTakedowns,voidMonsterKill,win,teamId
Briar,Mozzada,Briar,4,11,3,2,8,8912,152428,6502,21113,173,15008,0,0,10,1,3,7367,6750,0.0,False,False,False,0,1,401,0,100,0,0,191,50,0,0,0,0,2,72,0,0,0,338.73457168477705,0,12,0,0,1,0,1151.8018244070001,383.77151442378243,6,2,1,60.00000008940697,0,3.3333333333333335,2,0.37037037037037035,1,,0,0,0,0.0,1,1,0,0,10,0,0,0,0.10067828579214257,1,1,5,True,100
JarvanIV,DrivebyChocolate,NA1,11,4,4,5,2,8976,152715,5316,19690,0,13126,0,0,26,5,3,7957,7575,0.0,False,False,False,4,2,523,0,102,0,0,419,65,0,0,1,0,5,68,0,0,2,276.9454286671482,1,9,0,2,0,0,1151.8018244070001,414.54997200436634,3,2,1,72.00000008940697,1,1.75,2,0.5833333333333334,2,,0,0,0,0.0,0,1,0,0,7,0,0,0,0.12838345090918896,0,0,2,False,200
Briar,Mozzada,Briar,4,11,4,7,4,16097,240687,15631,38058,1932,35808,0,0,17,1,4,11203,8550,0.0,True,False,False,3,2,654,0,102,16,0,273,130,0,0,1,1,7,69,1,1,0,576.1164402796301,1,19,12,0,1,0,1627.925202414,412.91753834311123,7,2,1,66.00000005960464,0,2.75,2,0.44,2,,1,0,2,0.0,0,2,0,0,11,0,0,1,0.1952585273321409,0,2,7,True,100
Kayn,12 years a jg,Dawg,11,4,6,10,5,13499,224601,20006,35647,0,18803,0,0,16,2,3,12874,11250,0.0,False,False,False,6,1,413,0,117,2,0,343,187,0,0,0,0,10,76,0,0,0,737.3875624598393,1,0,2,0,0,0,1627.925202414,474.4946606028458,0,2,1,51.60000005364418,0,2.5,0,0.7142857142857143,3,,3,0,0,0.0,1,2,0,2,15,0,0,0,0.280780830591103,1,0,1,False,200
Briar,Mozzada,Briar,4,11,4,11,8,13463,199970,17118,26514,1433,30895,1,0,9,1,1,11147,9150,0.0,False,False,False,7,1,625,1,102,12,0,240,81,0,0,0,0,11,64,0,1,0,713.3425613787256,2,24,5,1,0,1,1439.874425763,464.53058069321787,14,2,1,54.000000059604645,0,4.75,2,0.59375,3,,0,0,1,0.0,0,0,0,4,19,0,0,0,0.19739970026729553,1,3,4,True,100
Nidalee,또끼쮸뿌링,클로버,11,4,6,2,1,9665,178223,9198,30401,0,16011,0,0,13,7,1,7429,7425,0.0,False,False,False,0,1,407,0,99,0,1509,156,153,0,0,0,0,2,78,0,0,1,383.2859062874895,1,0,0,0,0,0,1439.874425763,309.60563257844234,0,2,1,56.00000008940697,0,0.5,0,0.3,0,,0,0,2,0.0,0,1,0,0,3,0,2,0,0.1760246671913249,0,0,2,False,200
Evelynn,PVE wertion,NA1,4,11,5,9,5,14286,228531,24920,33508,0,11013,1,0,22,10,0,11543,10600,0.0,False,False,False,3,2,447,0,114,20,0,220,118,0,0,1,0,9,86,0,1,2,908.3907473062778,1,11,7,0,0,0,1646.010279438,420.78162424522,5,2,1,72.00000008940697,0,2.8,0,0.7,2,,0,0,0,0.0,1,2,1,2,14,0,0,0,0.24462263692528083,1,1,1,False,100
Briar,Mozzada,Briar,4,11,5,7,8,14078,261469,16336,39933,824,50305,1,0,9,1,0,11167,9675,0.0,False,False,False,3,2,447,0,105,24,0,344,156,0,0,1,0,7,76,0,1,0,595.4936753324332,3,21,10,1,0,0,1646.010279438,407.0659311192279,9,2,1,62.000000059604645,0,3.0,1,0.5,2,,2,0,0,0.0,0,0,0,0,15,0,0,0,0.15294492241502203,0,2,6,True,200
Briar,Mozzada,Briar,4,11,0,5,2,7258,128013,4984,15230,0,29531,0,0,10,1,3,6331,4500,0.0,False,False,False,5,1,0,0,67,0,0,129,0,0,0,0,0,5,44,0,0,0,321.49357262668894,2,7,1,0,0,0,930.2641811300001,408.3975026297216,3,2,0,64.00000005960464,0,7.0,0,0.4375,2,,1,0,1,0.0,0,3,0,0,7,0,0,0,0.13404077664148462,0,0,5,True,100
Olaf,Kinroth Lderx 33,3564,11,6,1,1,1,7816,144750,2932,13294,1119,4306,0,0,8,2,2,6541,4400,0.0,False,False,False,0,1,395,0,96,10,0,569,16,0,0,0,0,1,66,0,1,0,189.12051499383628,0,0,9,0,0,0,930.2641811300001,421.89836129883537,0,2,2,82.00000011920929,0,2.0,0,0.5,0,,0,0,8,0.0,0,0,0,0,2,0,1,0,0.12117646655248175,0,1,1,False,200
Karthus,压抑上单,J1un,11,4,9,17,9,20501,419766,64238,50263,0,57446,0,0,27,3,5,19063,18690,0.0,False,False,False,5,3,524,0,167,6,0,341,336,0,1,2,0,17,109,0,0,0,1751.3391277008152,2,0,8,0,0,0,2200.776109856,519.7328432808378,0,2,1,78.00000008940697,0,2.888888888888889,3,0.7878787878787878,1,,1,0,0,0.0,1,0,0,3,26,0,1,0,0.3919190286334951,1,0,7,False,100
Briar,Mozzada,Briar,4,11,8,12,13,18533,308049,32714,64715,606,26389,0,0,21,0,6,15975,14450,0.0,True,False,False,3,1,631,0,149,4,0,424,327,0,0,0,1,12,99,1,0,0,891.8907412467016,3,55,6,1,1,0,2200.776109856,435.5400747552498,18,2,1,68.00000008940697,0,3.125,5,0.5681818181818182,2,,0,0,0,0.0,0,2,0,2,25,1,1,1,0.2004415617413137,0,1,1,True,200
Briar,Mozzada,Briar,4,11,2,6,7,6765,116862,8981,19407,0,21053,0,0,7,1,0,7072,6750,1.0,False,True,False,5,2,780,0,68,4,0,226,28,0,0,1,0,6,47,0,0,0,588.8129723878802,2,18,6,1,0,0,915.2352080420001,463.68270855998395,9,2,1,70.00000008940697,0,6.5,1,0.65,2,,0,0,1,0.0,0,0,0,2,13,0,0,0,0.19128784950082797,0,0,4,True,100
Kindred,vast sky,004,11,4,5,0,3,5946,95171,2587,19563,0,1719,0,0,10,4,0,4646,4133,0.0,False,False,False,0,0,248,0,72,2,983,185,76,0,0,0,0,0,53,0,0,0,169.59674064025072,0,0,3,1,0,0,915.2352080420001,304.5873668121138,0,2,1,60.000000059604645,0,0.6,0,0.6,0,,0,0,2,0.0,0,0,0,0,3,0,0,0,0.09528223534828505,0,0,1,False,200
Briar,Mozzada,Briar,4,11,5,23,7,24291,400262,41142,70545,3150,25624,3,0,27,1,7,20433,16900,0.0,False,False,False,7,3,616,0,164,4,0,338,202,0,1,2,0,23,125,0,0,0,1004.2038878076925,2,48,6,1,2,0,2458.231806779,498.7386747077922,24,2,1,70.00000008940697,0,6.0,4,0.5,7,,1,0,0,0.0,0,3,0,6,30,0,2,0,0.20903585491876292,0,4,3,True,100
Viego,Saint Swiss,NA2,11,4,5,14,4,27715,559833,30317,59711,7324,100209,2,1,38,1,9,22279,26258,0.0,False,False,False,12,3,1456,0,174,32,0,309,193,0,1,5,0,14,124,2,3,1,739.988394420786,4,16,17,0,2,0,2458.231806779,543.7951170587789,10,2,1,75.00000011920929,0,3.6,1,0.6428571428571429,0,,2,0,2,0.0,1,1,0,4,18,0,0,2,0.22366594334519413,1,5,6,False,200
Briar,Mozzada,Briar,4,11,11,21,20,25362,361651,48269,83069,624,42235,0,0,40,14,5,20817,20825,0.0,False,True,False,6,2,407,0,127,16,0,369,445,0,0,4,1,21,80,2,1,0,1170.0414933307277,2,57,11,1,0,0,2475.273193522,504.61432846337595,25,2,1,58.000000059604645,1,3.727272727272727,4,0.6119402985074627,6,,1,0,1,0.0,1,2,0,6,41,1,0,2,0.21137063683788485,1,2,4,True,100
Morgana,Flippity Floop,INTID,11,4,16,14,12,21195,342957,42148,69069,45,43294,0,0,39,13,2,17105,15000,0.0,False,False,False,3,2,400,0,138,4,542,380,560,0,0,1,0,14,84,0,0,6,1021.6711282085491,3,31,6,0,0,0,2475.273193522,414.62525588526654,10,2,1,76.00000011920929,0,1.625,5,0.5909090909090909,1,,2,0,1,0.0,0,3,0,0,26,0,0,0,0.23473134282073183,0,0,5,False,200
Khazix,버거킹,감튀1,11,4,4,13,6,17102,337665,24272,38669,3206,54015,1,1,16,1,1,14683,12100,1.0,False,True,False,4,3,499,0,145,30,0,395,151,0,1,2,0,13,100,0,5,0,912.1810303334156,3,0,15,1,1,0,1596.5889188330002,551.803626027578,0,2,2,92.80000013113022,1,4.75,1,0.6333333333333333,3,,0,0,0,1.0,0,0,0,0,19,1,0,0,0.22178419731022755,0,4,6,True,100
Briar,Mozzada,Briar,4,11,6,7,4,11048,176956,12456,31940,0,9467,0,0,13,0,4,9518,9450,0.0,False,False,False,2,1,434,0,102,0,0,248,166,0,0,0,0,7,85,0,0,0,468.12730953081183,1,26,0,0,0,0,1596.5889188330002,357.7098031157246,6,2,0,37.200000047683716,0,1.8333333333333333,2,0.55,1,,1,0,2,0.0,0,0,0,5,11,0,0,0,0.17662057440860793,0,0,0,False,200
Zac,kimchi,chubs,11,4,5,6,18,18775,341826,33649,56874,1020,25762,0,0,18,5,1,15144,13500,0.0,False,False,False,3,1,788,0,144,17,347,732,188,0,0,0,0,6,108,0,1,0,894.6801549189887,2,144,20,1,1,0,2256.657978021,402.6744610865412,17,2,1,66.00000005960464,0,4.8,3,0.7058823529411765,0,,0,13,3,0.0,0,1,0,4,24,0,0,0,0.17811816084877286,0,4,4,True,100
