championName,riotIdGameName,riotIdTagline,summoner1Id,summoner2Id,deaths,kills,assists,champExperience,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,damageDealtToBuildings,damageDealtToObjectives,turretKills,inhibitorKills,visionScore,wardsPlaced,wardsKilled,goldEarned,goldSpent,earlyLaningPhaseGoldExpAdvantage,firstBloodAssist,firstBloodKill,gameEndedInEarlySurrender,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,objectivesStolen,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,quadraKills,tripleKills,doubleKills,baronKills,bountyLevel,alliedJungleMonsterKills,baronTakedowns,buffsStolen,controlWardsPlaced,damagePerMinute,dragonTakedowns,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,gameLength,goldPerMinute,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kda,killAfterHiddenWithAlly,killParticipation,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laningPhaseGoldExpAdvantage,riftHeraldTakedowns,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedowns,takedownsBeforeJungleMinionSpawn,takedownsInAlcove,teamBaronKills,teamDamagePercentage,teamRiftHeraldKills,turretTakedowns,voidMonsterKill,win,teamId
JarvanIV,星間飛行,RKL,4,11,6,4,13,11751,203275,17136,33698,255,26699,0,0,16,2,3,10482,10350,0.0,False,False,False,2,1,689,0,97,4,0,459,161,0,0,0,0,4,74,0,1,0,626.0542350050798,1,18,1,0,1,0,1642.337494517,382.97424911131105,5,2,2,54.000000059604645,0,2.8333333333333335,0,0.6071428571428571,0,,2,0,0,0.0,0,0,0,4,17,0,0,0,0.19704834696117507,0,0,6,False,100
Nocturne,VemTranquiloPoh,BR1,4,11,2,7,15,15333,250479,20280,32563,2140,51206,2,0,20,5,4,12656,11475,1.0,False,False,False,3,2,625,0,116,11,0,719,44,0,0,1,1,7,85,1,1,4,740.9197662249464,3,10,6,1,0,0,1642.337494517,462.3734074932487,5,2,0,67.20000010728836,0,11.0,1,0.5945945945945946,3,,0,0,7,0.0,1,1,0,2,22,0,2,1,0.172068781750114,1,3,2,True,200
Hecarim,doisk,zika,11,6,9,2,6,14223,270232,14130,38687,6109,24005,2,0,24,2,6,11688,10425,0.0,False,False,False,0,1,494,0,100,18,0,173,283,0,0,0,0,2,70,0,2,1,508.5277400505248,0,47,11,0,0,0,1667.194494352,420.6400581565469,4,1,1,64.00000008940697,0,0.8888888888888888,1,0.42105263157894735,0,,0,4,0,0.0,1,1,0,0,8,0,0,0,0.18718524229907793,1,2,5,False,100
Kayn,sleepwalker,sonne,4,11,6,14,12,17641,293403,29711,44085,0,39091,0,0,25,5,3,15120,13850,0.0,False,False,False,4,2,549,0,106,33,0,293,175,0,0,2,1,14,76,1,4,0,1069.2769807912493,4,1,26,0,0,0,1667.194494352,544.1583192480879,1,3,1,64.00000008940697,0,4.333333333333333,1,0.7222222222222222,5,,2,1,0,0.0,0,2,0,6,26,0,0,1,0.2932672332425455,0,0,3,True,200
Naafiri,Kvothe,Arc,11,4,2,8,14,17177,281298,22867,30305,1557,30829,2,1,22,6,2,13518,10775,0.0,False,True,False,6,3,774,1,104,37,0,162,52,0,1,1,0,8,80,0,3,4,714.4303571328345,3,0,26,2,0,0,1920.4766738130002,422.34958153427135,0,2,1,66.00000008940697,1,11.0,3,0.6470588235294118,2,,0,0,0,0.0,0,0,0,8,22,1,1,0,0.1595791851462525,0,4,3,True,100
Nunu,jack stauber,nurpo,11,4,10,3,6,13711,242831,14173,47483,0,38471,0,0,16,0,2,10445,10200,0.0,False,False,False,2,1,412,0,106,12,0,539,283,0,0,0,1,3,77,1,0,0,442.80925425746943,1,53,5,0,0,0,1920.4766738130002,326.3546456571168,7,2,1,46.00000008940697,0,0.9,1,0.6923076923076923,1,,1,0,43,0.0,1,0,1,4,9,0,0,1,0.15766507818497338,1,1,5,False,200
Zed,26091963,NIKÃO,11,4,3,8,8,18845,301269,27502,31430,5511,28955,4,1,26,7,1,15068,13750,1.0,True,False,False,7,1,1109,0,95,46,0,321,136,0,0,0,1,8,58,1,4,2,818.8032944351877,1,0,27,0,0,0,2015.3174821900002,448.6134435962598,0,2,2,60.00000011920929,0,5.333333333333333,1,0.45714285714285713,2,,2,0,4,1.0,1,3,0,2,16,1,0,1,0.1906451019898713,1,5,2,True,100
Nocturne,VemTranquiloPoh,BR1,4,11,3,9,9,16007,273429,23329,44264,111,27502,0,0,27,4,7,14310,12650,0.0,False,False,False,5,1,1210,1,93,10,0,830,81,0,0,0,0,9,72,0,1,4,694.5791093688482,2,11,9,0,0,1,2015.3174821900002,426.05721156248524,3,2,0,54.000000059604645,0,6.0,3,0.5806451612903226,1,,0,0,3,0.0,0,1,0,4,18,0,0,0,0.20261154147652372,0,1,6,False,200
Viego,Ken Kaneki,daddy,11,4,6,8,6,18141,328943,24420,42303,1218,4728,1,1,24,3,5,16213,15383,0.0,False,False,False,4,2,925,0,156,20,0,287,212,0,0,1,0,8,104,0,2,0,734.0185320393585,0,18,15,1,0,0,1996.1695321460002,487.3328485928666,11,2,0,73.60000011324883,0,2.3333333333333335,3,0.5833333333333334,4,,0,1,0,0.0,0,1,0,0,14,0,0,0,0.2220111377234111,0,1,2,False,100
Nocturne,NaturePhotonics,2802,11,4,3,13,13,21829,327924,31346,44117,3710,62733,1,1,31,17,1,16646,13400,0.0,False,False,False,4,2,852,0,118,23,0,850,122,0,0,1,0,13,85,2,1,8,942.1888479848016,3,8,17,0,0,0,1996.1695321460002,500.3559940879551,6,2,2,72.40000006556511,0,8.666666666666666,0,0.6046511627906976,6,,0,0,1,0.0,1,3,0,0,26,0,1,2,0.19837327184676642,1,4,7,True,200
