championName,riotIdGameName,riotIdTagline,summoner1Id,summoner2Id,deaths,kills,assists,champExperience,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,damageDealtToBuildings,damageDealtToObjectives,turretKills,inhibitorKills,visionScore,wardsPlaced,wardsKilled,goldEarned,goldSpent,earlyLaningPhaseGoldExpAdvantage,firstBloodAssist,firstBloodKill,gameEndedInEarlySurrender,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,objectivesStolen,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,quadraKills,tripleKills,doubleKills,baronKills,bountyLevel,alliedJungleMonsterKills,baronTakedowns,buffsStolen,controlWardsPlaced,damagePerMinute,dragonTakedowns,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,gameLength,goldPerMinute,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kda,killAfterHiddenWithAlly,killParticipation,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laningPhaseGoldExpAdvantage,riftHeraldTakedowns,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedowns,takedownsBeforeJungleMinionSpawn,takedownsInAlcove,teamBaronKills,teamDamagePercentage,teamRiftHeraldKills,turretTakedowns,voidMonsterKill,win,teamId
Kayn,Heavenly,eyes,14,11,9,22,15,27648,423980,53056,67939,4740,57104,2,1,26,0,3,21744,19605,0.0,False,False,False,7,2,893,0,108,33,0,462,407,0,0,3,2,22,69,2,4,0,1172.2258855526782,2,0,23,2,0,0,2715.704057541,480.41788974655344,0,2,1,72.00000008940697,0,4.111111111111111,3,0.5967741935483871,3,,0,0,0,0.0,0,5,0,2,37,0,1,2,0.21193103557336454,0,4,7,True,100
Zed,misc,hit,4,11,13,17,16,27826,464852,63118,65097,560,30676,1,0,30,5,8,20173,19950,0.0,False,False,False,5,2,481,0,149,27,0,508,568,0,0,2,0,17,95,0,2,0,1394.5156167638952,5,0,25,2,2,0,2715.704057541,445.70762290497703,0,2,1,74.00000008940697,0,2.5384615384615383,7,0.559322033898305,5,,3,0,4,0.0,1,3,0,0,33,0,0,1,0.27376309086775863,1,1,2,False,200
Graves,misc,hit,4,11,6,4,8,16311,309384,20171,31093,1495,19587,0,0,26,3,2,12829,12675,0.0,False,False,False,2,1,524,0,129,17,0,627,178,0,0,0,0,4,78,0,0,1,662.8884293350436,1,0,17,0,0,0,1825.7563714780001,421.6091467419399,0,2,1,60.000000059604645,0,2.0,0,0.6666666666666666,1,,0,0,4,1.0,1,1,0,0,12,0,0,0,0.2302625256206961,1,1,4,False,100
Nocturne,Faker de Niterói,br1,4,11,3,1,10,15434,261998,14704,43783,0,49420,0,1,21,4,4,10239,8875,0.0,False,False,False,0,1,903,0,118,12,0,666,106,0,0,0,0,1,74,1,1,2,483.21996700991974,3,6,8,0,0,0,1825.7563714780001,336.5017932109969,5,2,1,64.00000005960464,0,3.6666666666666665,2,0.4230769230769231,0,,0,0,4,0.0,0,0,0,4,11,0,0,1,0.11376574069062122,0,0,4,True,200
MasterYi,misc,hit,4,11,3,15,9,15861,276031,32076,25463,4477,55541,2,1,14,1,2,13174,11700,0.0,False,False,False,9,2,525,0,104,26,0,201,87,0,0,5,0,15,71,0,3,0,1383.6935045252608,2,0,10,1,1,0,1390.928062252,568.3035920511089,0,2,1,74.00000008940697,0,8.0,1,0.5853658536585366,4,,2,0,0,0.0,1,2,1,0,24,0,0,0,0.3665724538079237,1,3,7,True,100
Gwen,max canelinha,fan,11,6,9,10,3,10783,173488,20418,35039,3083,4884,1,0,15,2,4,12018,11875,0.0,False,False,False,2,2,223,0,95,8,0,254,200,0,0,1,0,10,73,0,0,2,880.765889649257,0,0,7,0,0,0,1390.928062252,518.4357520043004,0,2,1,64.00000008940697,0,1.4444444444444444,3,0.6190476190476191,1,,3,0,0,0.0,0,1,0,2,13,0,0,0,0.34670657239863895,0,1,0,False,200
LeeSin,Tiltarina,OGN,4,11,8,12,24,23163,359003,32852,57661,1045,63950,1,0,47,20,5,17185,16200,0.0,False,False,False,5,1,545,0,120,26,0,655,297,0,0,0,1,12,76,1,3,7,828.9313969173161,2,31,17,0,0,0,2377.964522101,433.6290481224023,10,2,1,58.000000059604645,0,4.5,2,0.4931506849315068,2,,1,9,3,0.0,1,1,0,2,36,0,1,1,0.14576973917716854,1,4,8,True,100
MasterYi,MISC LAST DANCE,mrkn,4,11,15,23,12,23209,344531,50201,58371,142,39321,0,0,26,1,5,19433,19570,0.0,False,False,False,5,3,280,0,143,5,0,248,552,0,2,5,1,23,90,1,0,0,1266.6620194521417,3,0,4,0,1,0,2377.964522101,490.3488907373508,0,2,1,55.75000002980232,0,2.3333333333333335,5,0.625,6,,0,0,0,1.0,0,5,0,0,35,0,0,1,0.2688715469836633,0,0,1,False,200
Karthus,14y JUGKING,br1,4,11,2,6,7,18860,392869,19254,23336,877,66339,1,0,9,0,1,13873,11900,0.0,False,False,False,4,1,655,0,111,68,0,136,78,0,0,0,0,6,72,0,3,0,756.994419491438,3,0,55,0,2,0,1526.113101783,545.4397022138994,0,2,1,90.00000011920929,0,6.5,1,0.40625,1,,0,0,6,0.0,1,0,0,0,13,0,0,0,0.20528137183993214,1,2,7,True,100
MasterYi,MISC LAST DANCE,mrkn,4,11,10,6,6,8978,102157,11218,27376,37,37,0,0,9,1,1,8647,8200,0.0,False,False,False,2,1,372,0,74,0,0,199,257,0,0,0,0,6,49,0,0,0,441.0742676696534,0,0,0,0,0,0,1526.113101783,339.96899194845736,0,2,1,56.00000008940697,0,1.2,1,0.75,2,,1,0,0,0.0,0,1,0,2,12,0,0,0,0.17803514881219043,0,0,0,False,200
