championName,riotIdGameName,riotIdTagline,summoner1Id,summoner2Id,deaths,kills,assists,champExperience,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,damageDealtToBuildings,damageDealtToObjectives,turretKills,inhibitorKills,visionScore,wardsPlaced,wardsKilled,goldEarned,goldSpent,earlyLaningPhaseGoldExpAdvantage,firstBloodAssist,firstBloodKill,gameEndedInEarlySurrender,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,objectivesStolen,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,quadraKills,tripleKills,doubleKills,baronKills,bountyLevel,alliedJungleMonsterKills,baronTakedowns,buffsStolen,controlWardsPlaced,damagePerMinute,dragonTakedowns,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,gameLength,goldPerMinute,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kda,killAfterHiddenWithAlly,killParticipation,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laningPhaseGoldExpAdvantage,riftHeraldTakedowns,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedowns,takedownsBeforeJungleMinionSpawn,takedownsInAlcove,teamBaronKills,teamDamagePercentage,teamRiftHeraldKills,turretTakedowns,voidMonsterKill,win,teamId
Kayn,TheSkyfallsforme,Rin,4,11,0,13,2,8551,146648,11284,13235,352,23073,1,0,10,2,1,9651,6650,1.0,False,True,False,13,2,0,0,59,20,0,226,0,0,0,2,0,13,45,0,2,0,743.7956698794171,1,0,12,0,0,0,910.2737003410001,636.1640226333222,0,2,1,66.00000008940697,0,15.0,2,0.75,5,,0,0,0,1.0,0,3,0,1,15,0,0,0,0.2734146453077766,0,1,6,True,100
Ekko,Ash Maverick,00001,11,4,5,2,2,5332,80171,3102,15439,0,0,0,0,9,3,2,4975,4325,0.0,False,False,False,0,1,187,0,62,0,0,155,83,0,0,0,0,2,47,0,0,1,204.5004773622102,0,3,0,0,0,0,910.2737003410001,327.9373489850342,1,2,1,47.75000008940697,0,0.8,0,0.5,2,,0,0,3,0.0,0,1,0,0,4,0,0,0,0.10161880174164692,0,0,0,False,200
Kayn,TheSkyfallsforme,Rin,4,11,2,3,8,7567,131583,7374,17238,1046,19135,0,0,12,1,1,6619,5237,0.0,False,False,False,2,1,689,0,59,12,0,153,50,0,0,0,0,3,45,0,1,0,440.5696278149078,2,0,13,1,1,0,1004.3288044450001,395.4380696762631,0,1,2,66.00000011920929,0,5.5,2,0.4074074074074074,3,,0,0,0,0.0,0,0,0,0,11,0,0,0,0.13783959784865116,0,0,5,True,100
Ivern,garbocan,ivern,4,11,4,4,1,6530,87544,6412,9317,0,0,0,0,4,1,0,6414,5700,0.0,False,False,False,3,2,385,0,71,8,0,216,58,0,0,1,0,4,45,0,2,0,383.09269204246453,0,18,2,0,0,0,1004.3288044450001,383.23133990983496,2,3,0,57.000000059604645,0,1.25,0,0.625,0,,2,0,1,0.0,0,0,0,0,5,0,0,0,0.17130655690247765,0,0,0,False,200
LeeSin,TheUrfGoesWurf,Smurf,4,11,3,14,11,14746,217785,21448,34481,1762,43092,1,1,26,14,0,11916,9000,0.0,False,False,False,6,2,665,0,103,0,0,508,80,0,0,3,0,14,65,0,0,3,791.1615732020115,2,14,0,0,0,0,1626.580920891,439.5645824307333,6,2,1,55.000000059604645,1,8.333333333333334,0,0.625,5,,1,7,1,0.0,0,1,0,2,25,0,1,0,0.18940827733776244,1,4,6,True,100
Kayn,TheSkyfallsforme,Rin,4,11,6,10,2,13878,239916,20107,29499,0,9840,0,0,23,8,1,13010,12675,0.0,False,False,False,6,2,529,0,125,6,0,256,165,0,0,1,0,10,90,0,0,1,741.726902504255,1,0,7,0,0,0,1626.580920891,479.9376842814101,0,2,1,63.00000011920929,0,2.0,3,0.6666666666666666,3,,0,0,0,0.0,0,4,0,10,12,0,1,0,0.22353923475211376,0,0,0,False,200
FiddleSticks,TheSkyfallsforme,Rin,4,11,3,2,8,13369,213319,12084,33609,1017,34414,1,1,58,4,8,9927,9300,0.0,False,False,False,2,1,868,0,113,14,0,838,65,0,0,0,1,2,66,1,2,4,428.28158609270525,1,39,10,0,1,0,1693.0147695500002,351.8192090821621,7,2,1,77.00000008940697,0,3.3333333333333335,2,0.37037037037037035,0,,0,0,0,0.0,0,0,0,0,10,0,0,1,0.12216236491396598,0,2,4,True,100
Rengar,chaechae1,lmao,4,11,4,6,7,15280,283618,18805,38337,3657,41830,2,0,21,11,1,12648,12337,0.0,True,False,False,2,1,543,0,98,20,0,298,143,0,0,0,0,6,65,0,1,2,666.446628032017,3,5,20,0,1,0,1693.0147695500002,448.26804095998557,2,2,1,64.00000008940697,0,3.25,0,0.48148148148148145,0,,1,0,0,0.0,0,2,0,4,13,2,0,0,0.2064340960849452,1,2,3,False,200
Warwick,D0WG,dog,11,4,9,5,11,15705,227519,24905,44660,1589,52732,1,0,15,8,1,10896,9025,0.0,False,False,False,2,1,413,0,108,1,0,609,198,0,0,0,0,5,66,0,0,1,960.5579688638991,2,42,1,1,1,0,1555.7067578180001,420.2657162464022,10,2,0,48.000000059604645,0,1.7777777777777777,1,0.48484848484848486,0,,1,0,0,0.0,1,2,0,2,16,0,1,0,0.19629169113240158,1,4,2,True,100
RekSai,TheSkyfallsforme,Rin,4,11,2,8,7,12977,233378,16592,36757,0,15113,0,0,23,5,2,11889,11825,1.0,True,False,False,5,3,1037,0,131,0,0,411,80,0,1,2,0,8,97,0,0,2,639.9517020138002,1,20,0,2,0,0,1555.7067578180001,458.5376602202841,7,2,2,74.00000008940697,0,7.5,0,0.5555555555555556,2,,4,0,2,0.0,0,1,0,4,15,0,0,0,0.18556433044640183,0,0,5,False,200
