championName,riotIdGameName,riotIdTagline,summoner1Id,summoner2Id,deaths,kills,assists,champExperience,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,damageDealtToBuildings,damageDealtToObjectives,turretKills,inhibitorKills,visionScore,wardsPlaced,wardsKilled,goldEarned,goldSpent,earlyLaningPhaseGoldExpAdvantage,firstBloodAssist,firstBloodKill,gameEndedInEarlySurrender,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,objectivesStolen,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,quadraKills,tripleKills,doubleKills,baronKills,bountyLevel,alliedJungleMonsterKills,baronTakedowns,buffsStolen,controlWardsPlaced,damagePerMinute,dragonTakedowns,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,gameLength,goldPerMinute,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kda,killAfterHiddenWithAlly,killParticipation,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laningPhaseGoldExpAdvantage,riftHeraldTakedowns,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedowns,takedownsBeforeJungleMinionSpawn,takedownsInAlcove,teamBaronKills,teamDamagePercentage,teamRiftHeraldKills,turretTakedowns,voidMonsterKill,win,teamId
Yorick,Es Nerf O Nadaa,LAN,11,4,5,8,18,15999,261479,26258,36180,4457,55239,3,0,31,1,14,13388,12133,0.0,True,False,False,5,2,960,0,115,4,0,333,169,0,0,1,0,8,74,1,0,1,896.5941530822964,3,16,6,0,0,0,1757.2245594160001,457.16377554470535,4,2,1,54.000000059604645,1,5.2,2,0.7027027027027027,1,,0,0,1,0.0,0,5,0,3,26,1,0,1,0.2026166629847703,0,4,7,True,100
Ambessa,Falso Positivo,Srr,4,11,11,4,10,12801,202027,12542,41253,0,8504,0,0,24,7,5,9864,9650,0.0,False,False,False,2,1,346,0,130,0,0,302,281,0,0,0,0,4,92,0,0,5,428.2553731351792,2,10,0,0,1,0,1757.2245594160001,336.8039851273724,3,2,1,64.00000008940697,0,1.2727272727272727,2,0.45161290322580644,1,,0,0,0,0.0,0,0,0,0,14,1,0,0,0.10502812626333978,1,0,0,False,200
JarvanIV,Es Nerf O Nadaa,LAN,11,4,11,6,16,19759,287562,26551,52728,6017,61471,2,0,46,5,10,14342,13975,0.0,False,False,False,2,1,761,0,107,18,0,520,426,0,0,0,1,6,69,1,1,3,690.1941775269095,2,20,13,0,1,0,2308.1619256530003,372.83065198363045,8,1,1,55.00000008940697,0,2.0,1,0.36666666666666664,3,,0,0,0,0.0,1,1,0,0,22,0,0,1,0.13727981557989571,1,2,8,True,100
Elise,Mewoox,MEW,11,4,15,13,16,20350,274103,43626,49893,1463,23044,0,0,31,5,5,15900,15850,0.0,False,False,False,3,1,322,0,100,30,0,262,505,0,0,0,0,13,57,0,2,4,1134.0485714122792,4,22,17,1,1,0,2308.1619256530003,413.316473620608,12,3,1,43.0,1,1.9333333333333333,1,0.58,1,,1,1,0,0.0,0,1,0,0,29,0,0,1,0.220011250857279,0,1,0,False,200
Ekko,Kings always win,CryG,4,11,12,4,7,16096,258318,22261,56053,1628,18076,1,0,35,7,5,12276,12000,0.0,False,False,False,2,1,343,1,121,4,0,497,332,0,0,0,0,4,77,0,0,4,611.4281949882758,1,2,3,1,0,1,2184.5247733270003,337.1810386519209,0,2,0,50.000000059604645,0,0.9166666666666666,4,0.3548387096774194,0,,0,0,3,0.0,0,1,0,4,11,0,0,0,0.15101082448214484,0,1,3,False,100
Zac,Es Nerf O Nadaa,LAN,11,4,2,6,20,19248,273346,20774,52981,1059,43031,0,0,29,6,5,14536,12650,0.0,False,False,False,4,1,1201,1,135,12,471,571,79,0,0,0,1,6,92,1,1,4,570.6010050651018,4,92,5,1,0,1,2184.5247733270003,399.2711215270976,16,2,2,60.000000059604645,0,13.0,5,0.52,2,,1,10,3,0.0,1,0,0,8,26,0,0,1,0.12300375925472808,1,2,5,True,200
Olaf,Es Nerf O Nadaa,LAN,11,6,2,7,5,15540,262850,14678,37000,2205,59337,2,0,31,5,5,12110,9525,0.0,False,False,False,4,2,739,0,105,20,0,549,70,0,0,1,1,7,66,1,2,1,535.4155931836245,2,0,14,0,2,0,1644.911760999,441.74160235194023,0,2,1,74.00000008940697,0,6.0,2,0.42857142857142855,1,,0,0,2,0.0,1,1,0,0,12,0,0,1,0.16550451415997788,1,3,9,True,100
Volibear,SPARTAN,NOBLE,11,4,5,4,2,13050,232705,10686,27312,59,12862,0,0,21,6,4,10181,10400,0.0,False,False,False,2,1,884,0,114,2,0,447,138,0,0,0,0,4,86,0,0,4,389.8043084188513,2,8,2,0,0,0,1644.911760999,371.3860403393221,5,2,1,68.00000008940697,0,1.2,1,0.42857142857142855,1,,0,0,0,0.0,0,0,0,0,6,0,0,0,0.15062526398556028,0,0,0,False,200
MonkeyKing,Es Nerf O Nadaa,LAN,11,4,5,5,3,11843,195635,14409,32967,371,15289,0,0,29,9,1,10290,9583,0.0,False,False,False,2,1,870,0,109,4,0,197,176,0,0,0,0,5,71,0,0,2,487.19215174725724,1,17,1,1,1,0,1774.571814913,347.9421540762051,7,2,1,56.000000059604645,0,1.6,0,0.3333333333333333,1,,0,0,0,0.0,1,0,0,2,8,0,0,0,0.15766599033768727,1,1,2,False,100
Warwick,IZROTH7,RML,4,11,5,8,13,17566,295078,17933,44304,376,59854,0,0,27,6,4,13513,13250,1.0,False,False,False,4,2,813,0,111,22,0,480,145,0,0,1,1,8,78,1,1,4,606.3443984881795,3,35,12,0,1,0,1774.571814913,456.888439702847,9,2,1,62.00000008940697,0,4.2,1,0.6774193548387096,3,,0,0,0,0.0,0,2,0,4,21,0,0,1,0.18316418088852296,0,0,6,True,200
DrMundo,te pongo in jhin,LAN,6,11,3,0,1,6336,112467,3090,18571,0,24924,0,0,8,1,1,4731,4375,0.0,False,False,False,0,0,422,0,66,0,0,172,58,0,0,0,0,0,42,0,0,0,185.04849530442687,1,0,0,0,0,0,1002.2209961750001,283.2619017902257,0,2,2,57.500000059604645,0,0.3333333333333333,0,0.16666666666666666,0,,0,0,4,0.0,0,0,0,0,1,0,0,0,0.12774875813842426,0,0,6,False,100
