Game,Region
BR1_3083527940,americas
BR1_3083507679,americas
BR1_3083487651,americas
BR1_3083473553,americas
BR1_3083451537,americas
BR1_3083434657,americas
BR1_3083336608,americas
BR1_3083322486,americas
BR1_3083275580,americas
BR1_3083267529,americas
BR1_3083258162,americas
BR1_3076011289,americas
BR1_3076003748,americas
BR1_3066233179,americas
BR1_3066221313,americas
BR1_3063370349,americas
BR1_3063359432,americas
BR1_3063342171,americas
BR1_3063322212,americas
BR1_3063296710,americas
BR1_3063276346,americas
BR1_3063266581,americas
BR1_3061561779,americas
BR1_3061540309,americas
BR1_3061482770,americas
BR1_3061463476,americas
BR1_3061444925,americas
BR1_3061436402,americas
BR1_3061422263,americas
BR1_3061402668,americas
BR1_3056471070,americas
BR1_3056467251,americas
BR1_3056456509,americas
BR1_3056372135,americas
BR1_3056347119,americas
BR1_3056333036,americas
BR1_3056305000,americas
BR1_3056272792,americas
BR1_3056262311,americas
BR1_3056089038,americas
BR1_3056080515,americas
BR1_3056068677,americas
BR1_3056056914,americas
BR1_3056041355,americas
BR1_3056024113,americas
BR1_3056008370,americas
BR1_3055986178,americas
BR1_3055963043,americas
BR1_3054744020,americas
BR1_3054726590,americas
BR1_3090056566,americas
BR1_3090053374,americas
BR1_3086594433,americas
BR1_3086580771,americas
BR1_3086569726,americas
BR1_3086561300,americas
BR1_3086027249,americas
BR1_3086003636,americas
BR1_3085866823,americas
BR1_3085858178,americas
BR1_3084900802,americas
BR1_3084893382,americas
BR1_3084073309,americas
BR1_3083821987,americas
BR1_3083436022,americas
BR1_3083412305,americas
BR1_3083393956,americas
BR1_3083300129,americas
BR1_3083289473,americas
BR1_3083276213,americas
BR1_3079381457,americas
BR1_3079359936,americas
BR1_3079222090,americas
BR1_3078776649,americas
BR1_3078762033,americas
BR1_3078742889,americas
BR1_3075841371,americas
BR1_3075835179,americas
BR1_3075826680,americas
BR1_3075819754,americas
BR1_3075286815,americas
BR1_3075274555,americas
BR1_3075260438,americas
BR1_3075252920,americas
BR1_3075243223,americas
BR1_3075233856,americas
BR1_3075223826,americas
BR1_3074848258,americas
BR1_3074531275,americas
BR1_3074518954,americas
BR1_3074504770,americas
BR1_3074493593,americas
BR1_3074481609,americas
BR1_3074383109,americas
BR1_3074361970,americas
BR1_3074343783,americas
BR1_3074327236,americas
BR1_3074303206,americas
BR1_3074250564,americas
BR1_3074226528,americas
LA1_1614258155,americas
LA1_1612965749,americas
LA1_1612955032,americas
LA1_1612942592,americas
LA1_1612935153,americas
LA1_1612929341,americas
LA1_1612919249,americas
LA1_1612911702,americas
LA1_1612905713,americas
LA1_1609336134,americas
LA1_1609326410,americas
LA1_1609304835,americas
LA1_1609299002,americas
LA1_1609287960,americas
LA1_1609283483,americas
LA1_1609271906,americas
LA1_1609139084,americas
LA1_1609129404,americas
LA1_1609039770,americas
LA1_1609039082,americas
LA1_1607431294,americas
LA1_1607422398,americas
LA1_1607412939,americas
LA1_1607405140,americas
LA1_1607391939,americas
LA1_1607379255,americas
LA1_1607364541,americas
LA1_1607339599,americas
LA1_1607328462,americas
LA1_1607316878,americas
LA1_1607279643,americas
LA1_1607270033,americas
LA1_1607264070,americas
LA1_1607250053,americas
LA1_1607160006,americas
LA1_1607150350,americas
LA1_1607134528,americas
LA1_1607125378,americas
LA1_1607110641,americas
LA1_1607100921,americas
LA1_1607096249,americas
LA1_1607090863,americas
LA1_1607084116,americas
LA1_1607073803,americas
LA1_1606831693,americas
LA1_1606754807,americas
LA1_1606750014,americas
LA1_1606732214,americas
LA1_1606692374,americas
LA1_1606682174,americas
NA1_5274163966,americas
NA1_5274136009,americas
NA1_5274106901,americas
NA1_5274075731,americas
NA1_5273817580,americas
NA1_5273810532,americas
NA1_5273800394,americas
NA1_5273680339,americas
NA1_5273671685,americas
NA1_5273664557,americas
NA1_5273659199,americas
NA1_5273648990,americas
NA1_5273634555,americas
NA1_5273619500,americas
NA1_5273604274,americas
NA1_5273591101,americas
NA1_5273573274,americas
NA1_5273549329,americas
NA1_5273516146,americas
NA1_5273322739,americas
NA1_5273294760,americas
NA1_5273169656,americas
NA1_5273151505,americas
NA1_5273140936,americas
NA1_5273128294,americas
NA1_5273110976,americas
NA1_5272992334,americas
NA1_5272972674,americas
NA1_5272956588,americas
NA1_5272943990,americas
NA1_5272902584,americas
NA1_5272885669,americas
NA1_5272852733,americas
NA1_5272737519,americas
NA1_5272713167,americas
NA1_5272684767,americas
NA1_5272662491,americas
NA1_5272646660,americas
NA1_5272629139,americas
NA1_5272609786,americas
NA1_5272590433,americas
NA1_5272454671,americas
NA1_5272370721,americas
NA1_5272362457,americas
NA1_5272351398,americas
NA1_5272338026,americas
NA1_5272313510,americas
NA1_5272283946,americas
NA1_5272255398,americas
NA1_5272212828,americas
KR_7613657296,asia
KR_7612742645,asia
KR_7612680508,asia
KR_7612648831,asia
KR_7612636091,asia
KR_7612475581,asia
KR_7612460033,asia
KR_7611505048,asia
KR_7610037162,asia
KR_7610031441,asia
KR_7610025073,asia
KR_7610001909,asia
KR_7609987740,asia
KR_7609982205,asia
KR_7609968490,asia
KR_7609966143,asia
KR_7609952751,asia
KR_7609513582,asia
KR_7608778825,asia
KR_7607467515,asia
KR_7605844274,asia
KR_7605803067,asia
KR_7605516365,asia
KR_7605502479,asia
KR_7605491534,asia
KR_7605301984,asia
KR_7604659590,asia
KR_7604158243,asia
KR_7604142061,asia
KR_7601031721,asia
KR_7600621870,asia
KR_7598269477,asia
KR_7598208223,asia
KR_7598133476,asia
KR_7597829935,asia
KR_7596278056,asia
KR_7596244288,asia
KR_7596207810,asia
KR_7596154978,asia
KR_7595545339,asia
KR_7595185945,asia
KR_7595131972,asia
KR_7595087735,asia
KR_7595050636,asia
KR_7594998798,asia
KR_7594962514,asia
KR_7594915915,asia
KR_7594882024,asia
KR_7594847780,asia
KR_7594802944,asia
NA1_5268466267,americas
NA1_5268434684,americas
NA1_5268421063,americas
NA1_5268388784,americas
NA1_5268369087,americas
NA1_5268350261,americas
NA1_5268314573,americas
NA1_5268296732,americas
NA1_5262911808,americas
NA1_5262870991,americas
NA1_5262848600,americas
NA1_5262824510,americas
NA1_5262173266,americas
NA1_5262128561,americas
NA1_5262109139,americas
NA1_5262092363,americas
NA1_5262081813,americas
NA1_5262060123,americas
NA1_5262047228,americas
NA1_5258825169,americas
NA1_5258585790,americas
NA1_5258552134,americas
NA1_5258517542,americas
NA1_5258474810,americas
NA1_5258411512,americas
NA1_5257922745,americas
NA1_5257901312,americas
NA1_5257881589,americas
NA1_5257697672,americas
NA1_5257688240,americas
NA1_5250690362,americas
NA1_5250686637,americas
NA1_5250681053,americas
NA1_5250660481,americas
NA1_5250651568,americas
NA1_5250128314,americas
NA1_5250118306,americas
NA1_5250108770,americas
NA1_5250087211,americas
NA1_5250065332,americas
NA1_5250014032,americas
NA1_5249975873,americas
NA1_5248381217,americas
NA1_5248366259,americas
NA1_5241313497,americas
NA1_5240874059,americas
NA1_5240715985,americas
NA1_5240690832,americas
NA1_5240650982,americas
NA1_5240627372,americas
NA1_5265736902,americas
NA1_5265719740,americas
NA1_5265695266,americas
NA1_5262320703,americas
NA1_5262295247,americas
NA1_5262279149,americas
NA1_5262249352,americas
NA1_5256308306,americas
NA1_5256290210,americas
NA1_5256266627,americas
NA1_5256247593,americas
NA1_5256222418,americas
NA1_5256198000,americas
NA1_5254614576,americas
NA1_5253431752,americas
NA1_5253375782,americas
NA1_5252696647,americas
NA1_5252372624,americas
NA1_5252356487,americas
NA1_5252171843,americas
NA1_5251935022,americas
NA1_5251571552,americas
NA1_5251556474,americas
NA1_5250573435,americas
NA1_5250545480,americas
NA1_5250400606,americas
NA1_5250387328,americas
NA1_5249458550,americas
NA1_5248721767,americas
NA1_5246983786,americas
NA1_5246957358,americas
NA1_5246929348,americas
NA1_5246898414,americas
NA1_5246885541,americas
NA1_5246868819,americas
NA1_5246203711,americas
NA1_5246191423,americas
NA1_5244230123,americas
NA1_5244201350,americas
NA1_5244174539,americas
NA1_5244148639,americas
NA1_5240590534,americas
NA1_5240587773,americas
NA1_5238495210,americas
NA1_5237025003,americas
NA1_5237001462,americas
NA1_5236975923,americas
NA1_5236887270,americas
NA1_5236858355,americas
NA1_5236820100,americas
NA1_5274191570,americas
NA1_5272184942,americas
NA1_5271584471,americas
NA1_5271376189,americas
NA1_5270808612,americas
NA1_5270095800,americas
NA1_5270060755,americas
NA1_5269992393,americas
NA1_5269952330,americas
NA1_5269665778,americas
NA1_5269398697,americas
NA1_5269365254,americas
NA1_5269334511,americas
NA1_5269222730,americas
NA1_5269189407,americas
NA1_5269167418,americas
NA1_5269143583,americas
NA1_5269115929,americas
NA1_5268728684,americas
NA1_5268699948,americas
NA1_5268490111,americas
NA1_5267867535,americas
NA1_5267837453,americas
NA1_5267802245,americas
NA1_5267779444,americas
NA1_5267754740,americas
NA1_5267332195,americas
NA1_5267227682,americas
NA1_5267193255,americas
NA1_5265965645,americas
NA1_5265921406,americas
NA1_5265846474,americas
NA1_5265755859,americas
NA1_5265728988,americas
NA1_5265684182,americas
NA1_5265665893,americas
NA1_5265639166,americas
NA1_5265633131,americas
NA1_5265292556,americas
NA1_5265054814,americas
NA1_5265015569,americas
NA1_5263766630,americas
NA1_5263728459,americas
NA1_5263156159,americas
NA1_5261378107,americas
NA1_5261362757,americas
NA1_5261335737,americas
NA1_5261305143,americas
NA1_5261284246,americas
NA1_5260938041,americas
NA1_5273153040,americas
NA1_5267871942,americas
NA1_5264631771,americas
NA1_5264610180,americas
NA1_5264578744,americas
NA1_5264550035,americas
NA1_5264517545,americas
NA1_5264477558,americas
NA1_5264445476,americas
NA1_5263976551,americas
NA1_5263958522,americas
NA1_5263942906,americas
NA1_5263912591,americas
NA1_5263879496,americas
NA1_5263852878,americas
NA1_5263823374,americas
NA1_5263797341,americas
NA1_5263704702,americas
NA1_5263676026,americas
NA1_5263646241,americas
NA1_5263193452,americas
NA1_5263165163,americas
NA1_5263137477,americas
NA1_5263099158,americas
NA1_5263052337,americas
NA1_5262981156,americas
NA1_5262948544,americas
NA1_5261799012,americas
NA1_5261761720,americas
NA1_5261709590,americas
NA1_5261682534,americas
NA1_5261639485,americas
NA1_5261601571,americas
NA1_5260577816,americas
NA1_5260546545,americas
NA1_5260520645,americas
NA1_5260222604,americas
NA1_5260203190,americas
NA1_5260179817,americas
NA1_5260139694,americas
NA1_5260112413,americas
NA1_5260079734,americas
NA1_5260048416,americas
NA1_5260009700,americas
NA1_5259975612,americas
NA1_5259945889,americas
NA1_5259792185,americas
NA1_5259771022,americas
NA1_5258606185,americas
NA1_5258563537,americas
NA1_5274244139,americas
NA1_5274234914,americas
NA1_5274213282,americas
NA1_5274190012,americas
NA1_5274162067,americas
NA1_5273937364,americas
NA1_5273919399,americas
NA1_5273894698,americas
NA1_5273873056,americas
NA1_5273854393,americas
NA1_5273654414,americas
NA1_5273644257,americas
NA1_5273629508,americas
NA1_5273615807,americas
NA1_5273579640,americas
NA1_5273556553,americas
NA1_5272927450,americas
NA1_5272910771,americas
NA1_5272887764,americas
NA1_5272855989,americas
NA1_5272826741,americas
NA1_5272798802,americas
NA1_5272746282,americas
NA1_5272673811,americas
NA1_5272657865,americas
NA1_5272629329,americas
NA1_5272616255,americas
NA1_5272390185,americas
NA1_5272382966,americas
NA1_5272369268,americas
NA1_5272358800,americas
NA1_5272335830,americas
NA1_5272323327,americas
NA1_5272298660,americas
NA1_5272272785,americas
NA1_5272080179,americas
NA1_5272039184,americas
NA1_5272008849,americas
NA1_5270908986,americas
NA1_5270887945,americas
NA1_5270853448,americas
NA1_5270821508,americas
NA1_5270803116,americas
NA1_5270759644,americas
NA1_5270686894,americas
NA1_5270661891,americas
NA1_5270636398,americas
NA1_5270610478,americas
NA1_5270585595,americas
NA1_5270565112,americas
NA1_5272999115,americas
NA1_5269034942,americas
NA1_5269010519,americas
NA1_5269000915,americas
NA1_5268986493,americas
NA1_5268973431,americas
NA1_5268950511,americas
NA1_5268939511,americas
NA1_5268729721,americas
NA1_5268716915,americas
NA1_5268684676,americas
NA1_5268616322,americas
NA1_5268580278,americas
NA1_5268540411,americas
NA1_5268515587,americas
NA1_5268490946,americas
NA1_5268401580,americas
NA1_5268374714,americas
NA1_5268361620,americas
NA1_5268343061,americas
NA1_5268321094,americas
NA1_5267968759,americas
NA1_5267945925,americas
NA1_5267911046,americas
NA1_5267878622,americas
NA1_5267849536,americas
NA1_5267830569,americas
NA1_5267812739,americas
NA1_5267784803,americas
NA1_5267748449,americas
NA1_5267730657,americas
NA1_5267712273,americas
NA1_5267697822,americas
NA1_5267679180,americas
NA1_5267666194,americas
NA1_5267650832,americas
NA1_5267383560,americas
NA1_5267361045,americas
NA1_5267320298,americas
NA1_5267288881,americas
NA1_5267257202,americas
NA1_5267228973,americas
NA1_5267198286,americas
NA1_5267178417,americas
NA1_5267142522,americas
NA1_5267118598,americas
NA1_5267102160,americas
NA1_5267082781,americas
NA1_5267071036,americas
NA1_5267045875,americas
KR_7608016752,asia
KR_7607976035,asia
KR_7607939527,asia
KR_7607890601,asia
KR_7607466123,asia
KR_7607422861,asia
KR_7607405800,asia
KR_7607368747,asia
KR_7607344626,asia
KR_7607330062,asia
KR_7606467111,asia
KR_7606428485,asia
KR_7606377900,asia
KR_7606310926,asia
KR_7606286167,asia
KR_7606242760,asia
KR_7606180558,asia
KR_7606099799,asia
KR_7605676350,asia
KR_7605642368,asia
KR_7605612665,asia
KR_7604988737,asia
KR_7604904781,asia
KR_7604822965,asia
KR_7604793789,asia
KR_7603541820,asia
KR_7603505857,asia
KR_7602703813,asia
KR_7602642959,asia
KR_7601528894,asia
KR_7601445702,asia
KR_7601377512,asia
KR_7601278236,asia
KR_7600805142,asia
KR_7599865905,asia
KR_7599836033,asia
KR_7599784307,asia
KR_7599747587,asia
KR_7599453350,asia
KR_7599434389,asia
KR_7599413883,asia
KR_7599401349,asia
KR_7597909908,asia
KR_7597874106,asia
KR_7597831853,asia
KR_7597786104,asia
KR_7597755375,asia
KR_7596882172,asia
KR_7596805907,asia
KR_7596528024,asia
LA1_1611353516,americas
LA1_1611349028,americas
LA1_1611339848,americas
LA1_1611334934,americas
LA1_1611117878,americas
LA1_1611112354,americas
LA1_1611101859,americas
LA1_1611094154,americas
LA1_1610922431,americas
LA1_1610916634,americas
LA1_1610914354,americas
LA1_1610815487,americas
LA1_1610804757,americas
LA1_1610788032,americas
LA1_1610709036,americas
LA1_1610701376,americas
LA1_1610689806,americas
LA1_1609302307,americas
LA1_1609295488,americas
LA1_1609288129,americas
LA1_1609281378,americas
LA1_1609266928,americas
LA1_1609261607,americas
LA1_1609254876,americas
LA1_1609255050,americas
LA1_1609199277,americas
LA1_1609147379,americas
LA1_1609130093,americas
LA1_1609119058,americas
LA1_1609106072,americas
LA1_1609097360,americas
LA1_1608846118,americas
LA1_1608836337,americas
LA1_1608801936,americas
LA1_1608801003,americas
LA1_1608793025,americas
LA1_1608626069,americas
LA1_1608615647,americas
LA1_1608561764,americas
LA1_1608556916,americas
LA1_1608552563,americas
LA1_1608212082,americas
LA1_1608188559,americas
LA1_1608184225,americas
LA1_1608178253,americas
LA1_1608172213,americas
LA1_1608145973,americas
LA1_1608146215,americas
LA1_1608000873,americas
LA1_1607997263,americas
NA1_5269736069,americas
NA1_5269716059,americas
NA1_5269687402,americas
NA1_5269359977,americas
NA1_5269330009,americas
NA1_5269296723,americas
NA1_5269201014,americas
NA1_5269136633,americas
NA1_5269094987,americas
NA1_5269070849,americas
NA1_5268478042,americas
NA1_5268452746,americas
NA1_5268432360,americas
NA1_5268411361,americas
NA1_5268397490,americas
NA1_5268377751,americas
NA1_5267905850,americas
NA1_5267872879,americas
NA1_5267846581,americas
NA1_5266633852,americas
NA1_5266590809,americas
NA1_5266562942,americas
NA1_5266528799,americas
NA1_5266497666,americas
NA1_5266471848,americas
NA1_5266443565,americas
NA1_5266427922,americas
NA1_5266404782,americas
NA1_5266382643,americas
NA1_5266358571,americas
NA1_5266339920,americas
NA1_5266318987,americas
NA1_5266296645,americas
NA1_5266268264,americas
NA1_5266250553,americas
NA1_5266239822,americas
NA1_5266223467,americas
NA1_5266210706,americas
NA1_5266201221,americas
NA1_5265768072,americas
NA1_5265741687,americas
NA1_5265717945,americas
NA1_5265696077,americas
NA1_5265669447,americas
NA1_5265650308,americas
NA1_5265624382,americas
NA1_5265587081,americas
NA1_5265566090,americas
NA1_5265550239,americas
NA1_5265532240,americas
LA1_1615373520,americas
LA1_1615371089,americas
LA1_1615361977,americas
LA1_1615360205,americas
