Game,Region
RU_523991653,europe
RU_523987934,europe
RU_523871757,europe
RU_523630273,europe
RU_523617590,europe
RU_523543986,europe
RU_523537581,europe
RU_523518250,europe
RU_523474263,europe
RU_523440933,europe
RU_523411944,europe
RU_523395499,europe
RU_523389338,europe
RU_523370223,europe
RU_523364794,europe
RU_523212876,europe
RU_523211773,europe
RU_523192055,europe
RU_523186098,europe
RU_523177873,europe
RU_523173547,europe
RU_523170178,europe
RU_523164732,europe
RU_523161170,europe
RU_523157375,europe
RU_523156015,europe
RU_523153284,europe
RU_523151119,europe
RU_523102317,europe
RU_523098268,europe
RU_523096036,europe
RU_523091980,europe
RU_523086866,europe
RU_523083990,europe
RU_523082058,europe
RU_523069636,europe
RU_523069039,europe
RU_523022637,europe
RU_523018484,europe
RU_523016025,europe
RU_523011070,europe
RU_523001939,europe
RU_522923730,europe
RU_522922122,europe
RU_522915353,europe
RU_522904988,europe
RU_522902928,europe
RU_522817708,europe
RU_522812636,europe
RU_522810460,europe
NA1_5273803462,americas
NA1_5273788376,americas
NA1_5273710254,americas
NA1_5273699731,americas
NA1_5270298329,americas
NA1_5270290552,americas
NA1_5270283606,americas
NA1_5270279292,americas
NA1_5270268854,americas
NA1_5270254083,americas
NA1_5270236121,americas
NA1_5270215772,americas
NA1_5270193966,americas
NA1_5270168064,americas
NA1_5270126194,americas
NA1_5270101343,americas
NA1_5270076788,americas
NA1_5270043886,americas
NA1_5270012993,americas
NA1_5269986110,americas
NA1_5269948112,americas
NA1_5269928310,americas
NA1_5269907818,americas
NA1_5269885096,americas
NA1_5269856901,americas
NA1_5269798328,americas
NA1_5269703159,americas
NA1_5269673024,americas
NA1_5269654080,americas
NA1_5269618802,americas
NA1_5269604984,americas
NA1_5269595621,americas
NA1_5269587641,americas
NA1_5269577361,americas
NA1_5269576116,americas
NA1_5269569194,americas
NA1_5269563144,americas
NA1_5269555871,americas
NA1_5269547811,americas
NA1_5269535579,americas
NA1_5269523899,americas
NA1_5269511643,americas
NA1_5269484516,americas
NA1_5269468277,americas
NA1_5269439568,americas
NA1_5269412960,americas
NA1_5269362756,americas
NA1_5269328611,americas
NA1_5269303253,americas
NA1_5269262541,americas
KR_7613582690,asia
KR_7613529971,asia
KR_7612908823,asia
KR_7612333879,asia
KR_7611785892,asia
KR_7611736980,asia
KR_7611509417,asia
KR_7611485415,asia
KR_7610925632,asia
KR_7610871847,asia
KR_7609923736,asia
KR_7609916309,asia
KR_7604467710,asia
KR_7604447385,asia
KR_7603969621,asia
KR_7603916350,asia
KR_7603877124,asia
KR_7603729135,asia
KR_7603669147,asia
KR_7603597310,asia
KR_7602952330,asia
KR_7602939761,asia
KR_7602927623,asia
KR_7602909831,asia
KR_7602897069,asia
KR_7601586046,asia
KR_7600376100,asia
KR_7600341416,asia
KR_7600265128,asia
KR_7600189644,asia
KR_7600135353,asia
KR_7594836326,asia
KR_7594771662,asia
KR_7594403149,asia
KR_7594369337,asia
KR_7594348178,asia
KR_7594306771,asia
KR_7593793534,asia
KR_7593564729,asia
