Game,Region
NA1_5273960558,americas
NA1_5273940293,americas
NA1_5273875574,americas
NA1_5273854991,americas
NA1_5273832945,americas
NA1_5273820631,americas
NA1_5271142500,americas
NA1_5271125335,americas
NA1_5267090251,americas
NA1_5267031763,americas
NA1_5265908222,americas
NA1_5265196437,americas
NA1_5265148505,americas
NA1_5258911678,americas
NA1_5258569374,americas
NA1_5258542346,americas
NA1_5257912269,americas
NA1_5257892092,americas
NA1_5257872950,americas
NA1_5257844418,americas
NA1_5257814632,americas
NA1_5257792102,americas
NA1_5257771735,americas
NA1_5257741162,americas
NA1_5257709467,americas
NA1_5257384135,americas
NA1_5257324927,americas
NA1_5257289348,americas
NA1_5257261374,americas
NA1_5257237348,americas
NA1_5257214067,americas
NA1_5257186157,americas
NA1_5257140388,americas
NA1_5257113718,americas
NA1_5257103406,americas
NA1_5256888059,americas
NA1_5256860962,americas
NA1_5256845867,americas
NA1_5256817918,americas
NA1_5256747521,americas
NA1_5256732991,americas
NA1_5256705694,americas
NA1_5256676468,americas
NA1_5256653063,americas
NA1_5256631103,americas
NA1_5256613031,americas
NA1_5256589604,americas
NA1_5254868984,americas
NA1_5254222792,americas
NA1_5254213991,americas
KR_7614893318,asia
KR_7614853688,asia
KR_7614198963,asia
KR_7614155951,asia
KR_7614121769,asia
KR_7614085130,asia
KR_7613638186,asia
KR_7613627388,asia
KR_7613617756,asia
KR_7613606983,asia
KR_7613587551,asia
KR_7613576392,asia
KR_7613559475,asia
KR_7613544490,asia
KR_7613371307,asia
KR_7613338040,asia
KR_7613013919,asia
KR_7612973027,asia
KR_7612927338,asia
KR_7612420977,asia
KR_7612409437,asia
KR_7612399604,asia
KR_7612393806,asia
KR_7612384664,asia
KR_7612383167,asia
KR_7612366221,asia
KR_7612352215,asia
KR_7612334069,asia
KR_7612091940,asia
KR_7612029512,asia
KR_7611833342,asia
KR_7611785116,asia
KR_7611214793,asia
KR_7611210373,asia
KR_7611203138,asia
KR_7611194008,asia
KR_7611179397,asia
KR_7611164738,asia
KR_7611147904,asia
KR_7611137605,asia
KR_7611115953,asia
KR_7611005898,asia
KR_7610808864,asia
KR_7610724860,asia
KR_7610659008,asia
KR_7610599726,asia
KR_7610490432,asia
KR_7610466161,asia
KR_7610425931,asia
KR_7609979700,asia
KR_7614893207,asia
KR_7614853688,asia
KR_7614829040,asia
KR_7614294603,asia
KR_7614267082,asia
KR_7614047476,asia
KR_7614003748,asia
KR_7613967390,asia
KR_7613928760,asia
KR_7613873645,asia
KR_7613872312,asia
KR_7613557560,asia
KR_7613534963,asia
KR_7613513608,asia
KR_7613493481,asia
KR_7613387483,asia
KR_7612815232,asia
KR_7612767581,asia
KR_7612707759,asia
KR_7612664923,asia
KR_7612630700,asia
KR_7612305548,asia
KR_7612281219,asia
KR_7612228330,asia
KR_7612115018,asia
KR_7612067500,asia
KR_7612032540,asia
KR_7611934356,asia
KR_7611860126,asia
KR_7611819629,asia
KR_7611791149,asia
KR_7611748488,asia
KR_7611722829,asia
KR_7611613881,asia
KR_7611583573,asia
KR_7611538468,asia
KR_7611497107,asia
KR_7611456730,asia
KR_7611431103,asia
KR_7611102863,asia
KR_7611069941,asia
KR_7611055150,asia
KR_7611023439,asia
KR_7610985853,asia
KR_7610928516,asia
KR_7610890322,asia
KR_7610855053,asia
KR_7610775991,asia
KR_7610717143,asia
KR_7610660651,asia
NA1_5273086174,americas
NA1_5272502416,americas
NA1_5272477373,americas
NA1_5270285722,americas
NA1_5270280215,americas
NA1_5270265972,americas
NA1_5269715178,americas
NA1_5269356449,americas
NA1_5269034722,americas
NA1_5266885443,americas
NA1_5266870862,americas
NA1_5266869300,americas
NA1_5266228609,americas
NA1_5266089775,americas
NA1_5266033035,americas
NA1_5264059925,americas
NA1_5262716028,americas
NA1_5262697580,americas
NA1_5261972012,americas
NA1_5261957326,americas
NA1_5260301934,americas
NA1_5257692622,americas
NA1_5254241250,americas
NA1_5254229062,americas
NA1_5253105155,americas
NA1_5252683434,americas
NA1_5252663533,americas
NA1_5252585963,americas
NA1_5252492656,americas
NA1_5251605365,americas
NA1_5251494967,americas
NA1_5251425208,americas
NA1_5251349537,americas
NA1_5251340030,americas
NA1_5251001590,americas
NA1_5250733929,americas
NA1_5250727210,americas
NA1_5250719730,americas
NA1_5250707217,americas
NA1_5250701442,americas
NA1_5250338915,americas
NA1_5250319288,americas
NA1_5250302703,americas
NA1_5250287975,americas
NA1_5250274018,americas
NA1_5250229827,americas
NA1_5250216544,americas
NA1_5250203631,americas
NA1_5250132260,americas
NA1_5250123771,americas
BR1_3090892737,americas
BR1_3090754295,americas
BR1_3090746446,americas
BR1_3090574490,americas
BR1_3090066571,americas
BR1_3089547187,americas
BR1_3089427814,americas
BR1_3088611184,americas
BR1_3088200066,americas
BR1_3088135150,americas
BR1_3086032169,americas
BR1_3086020679,americas
BR1_3085859239,americas
BR1_3085850296,americas
BR1_3085838940,americas
BR1_3085829846,americas
BR1_3084872429,americas
BR1_3084600382,americas
BR1_3084424149,americas
BR1_3084410406,americas
BR1_3084353936,americas
BR1_3083850034,americas
BR1_3083256546,americas
BR1_3082610147,americas
BR1_3082332080,americas
BR1_3082300093,americas
BR1_3082287325,americas
BR1_3082006647,americas
BR1_3080719605,americas
BR1_3080706683,americas
BR1_3079261857,americas
BR1_3076583604,americas
BR1_3076570482,americas
BR1_3076461736,americas
BR1_3076225264,americas
BR1_3076195677,americas
BR1_3076170580,americas
BR1_3076149821,americas
