championName,deaths,kills,assists,champExperience,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,damageDealtToBuildings,damageDealtToObjectives,turretKills,inhibitorKills,visionScore,wardsPlaced,wardsKilled,goldEarned,goldSpent,earlyLaningPhaseGoldExpAdvantage,firstBloodAssist,firstBloodKill,gameEndedInEarlySurrender,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,objectivesStolen,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,quadraKills,tripleKills,doubleKills,baronKills,bountyLevel,alliedJungleMonsterKills,baronTakedowns,buffsStolen,controlWardsPlaced,damagePerMinute,dragonTakedowns,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,gameLength,goldPerMinute,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kda,killAfterHiddenWithAlly,killParticipation,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laningPhaseGoldExpAdvantage,riftHeraldTakedowns,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedowns,takedownsBeforeJungleMinionSpawn,takedownsInAlcove,teamBaronKills,teamDamagePercentage,teamRiftHeraldKills,turretTakedowns,voidMonsterKill,win
Aatrox,7.75,6.25,5.25,14075.0,252523.0,21302.25,39273.0,1347.25,17935.75,0.25,0.0,19.75,4.75,3.5,11570.5,11406.25,0.25,0.0,0.0,0.0,2.0,1.0,516.25,0.0,116.0,12.75,0.0,377.75,272.5,0.0,0.0,0.0,0.0,6.25,76.75,0.0,1.5,1.5,689.5231743285017,0.75,35.25,6.75,0.0,0.0,0.0,28.922936817962498,392.5551610506997,6.75,2.75,1.0,64.06250005960464,0.0,1.5206709956709956,0.5,0.509578634085213,0.75,,1.0,8.0,1.75,0.0,0.5,1.25,0.0,1.5,11.5,0.0,0.25,0.0,0.2031290071793102,0.5,0.25,3.5,0.0
Akshan,4.0,0.0,1.0,4792.0,45968.0,1867.0,12053.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3778.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,45.0,0.0,0.0,160.0,52.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,119.20611088222876,0.0,0.0,0.0,0.0,0.0,0.0,15.669851174383332,241.141559144304,0.0,2.0,0.0,40.000000059604645,0.0,0.25,1.0,0.3333333333333333,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.069220925079811,0.0,0.0,0.0,0.0
Alistar,6.5,1.0,7.0,10993.0,152058.0,7793.5,37327.0,0.0,4518.5,0.0,0.0,13.0,5.0,0.0,8602.5,7775.0,0.0,0.0,0.0,0.0,0.0,1.0,741.5,0.0,34.0,2.0,1747.0,369.5,201.5,0.0,0.0,0.0,0.0,1.0,25.0,0.0,4.0,1.5,279.9195102680119,0.0,46.0,3.0,0.0,0.0,0.0,27.941739127825,307.80523918711447,6.0,2.0,0.5,48.800000086426735,0.0,1.2023809523809523,0.0,0.4457236842105263,0.0,,0.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.5,0.0,0.1264805598389026,0.0,0.0,3.0,0.0
Ambessa,6.290909090909091,4.681818181818182,4.681818181818182,12171.690909090908,212119.43636363637,15507.636363636364,31263.154545454545,720.4454545454546,17120.79090909091,0.22727272727272727,0.02727272727272727,21.027272727272727,5.318181818181818,2.963636363636364,10211.672727272728,9741.209090909091,0.03636363636363636,0.05454545454545454,0.06363636363636363,0.0,2.227272727272727,1.2181818181818183,558.3,0.07272727272727272,81.37272727272727,6.4363636363636365,0.0,317.93636363636364,178.1909090909091,0.0,0.02727272727272727,0.2909090909090909,0.05454545454545454,4.681818181818182,57.04545454545455,0.09090909090909091,2.1363636363636362,2.309090909090909,555.0861367531705,0.9272727272727272,10.418181818181818,4.572727272727272,0.5545454545454546,0.17272727272727273,0.05454545454545454,26.587340785730756,380.0910093735308,2.536363636363636,2.0,0.9454545454545454,63.33318190384995,0.10909090909090909,1.5858992522628887,1.1818181818181819,0.5099309093901059,0.8636363636363636,,0.4727272727272727,0.00909090909090909,0.0,0.01818181818181818,0.13636363636363635,0.7272727272727273,0.0,1.6636363636363636,9.363636363636363,0.07272727272727272,0.16363636363636364,0.09090909090909091,0.19001034656935936,0.15454545454545454,0.509090909090909,2.981818181818182,0.0
Amumu,7.34295415959253,3.706281833616299,7.434634974533107,11951.336162988115,197125.52122241087,15487.531409168081,33958.96604414262,328.69100169779284,20145.035653650255,0.13582342954159593,0.011884550084889643,19.724957555178268,4.68081494057725,2.969439728353141,9692.986417657046,9145.152801358234,0.035653650254668934,0.11035653650254669,0.05263157894736842,0.0,1.534804753820034,1.137521222410866,503.70797962648555,0.06621392190152801,88.12224108658744,5.799660441426146,38.70288624787776,210.72495755517826,207.83531409168083,0.001697792869269949,0.022071307300509338,0.21561969439728354,0.0865874363327674,3.6960950764006792,62.70458404074703,0.1035653650254669,1.1103565365025467,1.862478777589134,544.2363170823035,1.1256366723259763,38.24787775891341,4.952461799660441,0.6112054329371817,0.3140916808149406,0.059422750424448216,27.338201520674392,352.79607971951873,7.877758913412563,1.8539898132427843,0.8726655348047538,58.31018683805126,0.0730050933786078,1.6271287286567424,1.134125636672326,0.521040218035611,0.4567062818336163,,0.5008488964346349,0.006791171477079796,2.9864176570458403,0.01020408163265306,0.26825127334465193,0.5500848896434635,0.015280135823429542,1.8285229202037352,11.139219015280135,0.0831918505942275,0.11544991511035653,0.11205432937181664,0.17894835709168616,0.2699490662139219,0.28522920203735147,3.0916808149405774,0.0
Anivia,4.0,1.0,3.0,15562.0,292730.0,10207.0,39471.0,318.0,10231.0,0.0,0.0,27.0,12.0,3.0,10704.0,10600.0,0.0,0.0,0.0,0.0,0.0,1.0,904.0,0.0,141.0,20.0,0.0,1981.0,106.0,0.0,0.0,0.0,0.0,1.0,108.0,0.0,2.0,0.0,318.0862294627812,1.0,28.0,12.0,0.0,1.0,0.0,32.09137420375,333.5759350249043,3.0,2.0,2.0,56.000000059604645,0.0,1.0,0.0,0.2666666666666666,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1260865453625659,0.0,1.0,0.0,0.0
AurelionSol,6.375,4.916666666666667,5.083333333333333,12349.833333333334,204611.875,16021.25,30241.458333333332,68.91666666666667,12830.916666666666,0.125,0.0,18.25,9.083333333333334,1.0833333333333333,10570.875,9877.708333333334,0.0,0.041666666666666664,0.0,0.0,2.0416666666666665,1.2083333333333333,495.875,0.0,111.58333333333333,8.875,0.0,245.125,174.04166666666666,0.0,0.0,0.2916666666666667,0.125,4.916666666666667,79.95833333333333,0.20833333333333334,0.7083333333333334,2.7083333333333335,593.184607375534,0.625,9.625,8.375,0.25,0.125,0.0,25.988279279225694,402.53092732668273,2.0,2.0,0.625,59.01875008021792,0.08333333333333333,1.838640873015873,1.125,0.5926956584401437,0.625,,1.25,0.0,0.16666666666666666,0.0,0.16666666666666666,0.375,0.0,1.4166666666666667,10.0,0.0,0.08333333333333333,0.20833333333333334,0.21034510573890305,0.16666666666666666,0.16666666666666666,2.5416666666666665,0.0
Bard,2.0,3.0,1.0,6447.0,87745.0,3274.0,16975.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,5697.0,5500.0,0.0,0.0,0.0,0.0,2.0,1.0,409.0,0.0,71.0,0.0,210.0,387.0,42.0,0.0,0.0,0.0,0.0,3.0,50.0,0.0,0.0,0.0,202.8825177057913,0.0,5.0,0.0,0.0,0.0,0.0,16.142310894083334,352.96888009547,1.0,2.0,1.0,43.750000059604645,0.0,2.0,0.0,0.5,0.0,,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1344559288520226,0.0,0.0,0.0,0.0
Belveth,6.116731517509727,5.272373540856031,4.942931258106356,11898.281452658885,200832.8197146563,12858.640726329442,30923.836575875488,946.0791180285344,20624.857328145266,0.4176394293125811,0.019455252918287938,21.05058365758755,3.8287937743190663,4.333333333333333,10347.044098573282,9837.697795071335,0.054474708171206226,0.10116731517509728,0.10116731517509728,0.0,2.5252918287937742,1.198443579766537,550.3022049286641,0.055771725032425425,85.526588845655,10.086900129701686,0.0,309.8806744487678,167.01297016861218,0.0012970168612191958,0.016861219195849545,0.27367055771725035,0.07392996108949416,5.238651102464332,60.1284046692607,0.0907911802853437,1.5888456549935148,1.5823605706874189,464.38229419648644,0.8962386511024644,14.539559014267185,7.6433203631647215,0.47600518806744485,0.2853437094682231,0.04928664072632944,26.127477942461176,391.0441557966875,5.041504539559014,1.9208819714656291,0.9312581063553826,59.202723821584044,0.10505836575875487,1.8805863037380548,1.2334630350194553,0.5379686886536431,0.814526588845655,,0.5512321660181583,0.007782101167315175,0.0012970168612191958,0.04798962386511025,0.3164721141374838,0.7509727626459144,0.038910505836575876,2.1297016861219196,10.215304798962386,0.09987029831387809,0.13488975356679636,0.10116731517509728,0.16169984729410275,0.31906614785992216,0.6835278858625162,2.9374185136897,0.0
Brand,7.002398081534772,4.371702637889689,6.580335731414868,12661.25179856115,224164.28537170263,21589.94964028777,32350.8896882494,323.59232613908875,19130.92086330935,0.1486810551558753,0.004796163069544364,24.47482014388489,5.995203836930456,3.988009592326139,10382.877697841726,9838.237410071943,0.07434052757793765,0.03836930455635491,0.05275779376498801,0.0,1.7817745803357314,1.2014388489208634,525.043165467626,0.05995203836930456,105.29256594724221,9.844124700239808,3.357314148681055,411.98081534772183,202.5347721822542,0.0,0.016786570743405275,0.30935251798561153,0.09592326139088729,4.342925659472422,73.8369304556355,0.11750599520383694,0.7985611510791367,2.6498800959232613,744.203864818844,0.894484412470024,11.160671462829736,7.899280575539568,0.5035971223021583,0.34292565947242204,0.05755395683453238,27.49198543638953,375.5917011056006,4.148681055155875,1.908872901678657,0.8776978417266187,63.902518072002515,0.05755395683453238,1.6548559753595724,1.1654676258992807,0.5424532699468947,0.6474820143884892,,0.7242206235011991,0.014388489208633094,2.1894484412470026,0.047961630695443645,0.2278177458033573,0.5371702637889688,0.03117505995203837,0.9592326139088729,10.952038369304557,0.02158273381294964,0.11750599520383694,0.12709832134292565,0.23639382487399116,0.23980815347721823,0.38609112709832133,3.2541966426858515,0.0
