championName,deaths,kills,assists,champExperience,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,damageDealtToBuildings,damageDealtToObjectives,turretKills,inhibitorKills,visionScore,wardsPlaced,wardsKilled,goldEarned,goldSpent,earlyLaningPhaseGoldExpAdvantage,firstBloodAssist,firstBloodKill,gameEndedInEarlySurrender,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,objectivesStolen,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,quadraKills,tripleKills,doubleKills,baronKills,bountyLevel,alliedJungleMonsterKills,baronTakedowns,buffsStolen,controlWardsPlaced,damagePerMinute,dragonTakedowns,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,gameLength,goldPerMinute,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kda,killAfterHiddenWithAlly,killParticipation,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laningPhaseGoldExpAdvantage,riftHeraldTakedowns,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedowns,takedownsBeforeJungleMinionSpawn,takedownsInAlcove,teamBaronKills,teamDamagePercentage,teamRiftHeraldKills,turretTakedowns,voidMonsterKill,win
Aatrox,8.0,5.2,9.8,16107.8,273703.4,20285.4,52807.6,1488.4,30267.0,0.8,0.0,23.8,4.6,1.6,11856.2,9960.0,0.0,0.0,0.0,0.0,2.4,1.4,467.6,0.0,99.2,38.8,0.0,344.2,259.8,0.0,0.0,0.4,0.2,5.2,66.0,0.2,2.6,2.8,665.0909819948217,2.2,33.6,30.4,0.2,0.4,0.0,30.74131727219667,388.2474791086486,9.2,2.0,1.4,61.60000007152557,0.0,2.278571428571429,0.0,0.3583673469387755,0.6,,0.4,9.6,2.0,0.0,0.4,0.4,0.0,3.2,15.0,0.0,0.0,0.6,0.14583025089240975,0.4,2.0,2.4,1.0
Ambessa,4.171052631578948,7.9868421052631575,8.736842105263158,15392.565789473685,261732.8552631579,20285.17105263158,31744.144736842107,2149.5526315789475,37746.03947368421,1.0526315789473684,0.21052631578947367,22.144736842105264,4.75,2.8289473684210527,12258.171052631578,10784.03947368421,0.07894736842105263,0.05263157894736842,0.11842105263157894,0.0,4.434210526315789,1.6710526315789473,553.6842105263158,0.07894736842105263,100.44736842105263,16.723684210526315,0.0,339.80263157894734,124.44736842105263,0.0,0.06578947368421052,0.881578947368421,0.4342105263157895,7.9868421052631575,68.59210526315789,0.5394736842105263,1.9342105263157894,2.1710526315789473,723.85437226487,2.0526315789473686,11.447368421052632,12.381578947368421,0.6842105263157895,0.4868421052631579,0.05263157894736842,27.345530099008993,449.5782686016881,3.3421052631578947,2.026315789473684,0.9473684210526315,65.21381587652783,0.2236842105263158,5.799503968253968,1.7763157894736843,0.5157250307505836,1.9473684210526316,,0.4342105263157895,0.02631578947368421,0.0,0.15789473684210525,0.4605263157894737,1.0657894736842106,0.02631578947368421,2.6578947368421053,16.723684210526315,0.05263157894736842,0.21052631578947367,0.5657894736842105,0.19315405820469878,0.5,2.263157894736842,4.2368421052631575,1.0
Amumu,4.418943533697632,5.273224043715847,11.812386156648452,14863.442622950819,238019.0163934426,17272.897996357013,32363.500910746814,1480.9143897996357,41712.633879781424,0.6539162112932605,0.16393442622950818,22.398907103825138,5.249544626593807,3.092896174863388,11404.269581056466,10164.389799635701,0.05656934306569343,0.15300546448087432,0.061930783242258654,0.0,2.710382513661202,1.289617486338798,591.3424408014572,0.10200364298724955,90.22950819672131,12.089253187613844,39.61566484517304,244.21493624772313,127.97814207650273,0.0,0.01092896174863388,0.4007285974499089,0.4808743169398907,5.22040072859745,62.94899817850637,0.5974499089253188,1.8087431693989071,2.105646630236794,595.7103069796988,2.517304189435337,41.209471766848814,9.397085610200364,0.8524590163934426,0.6520947176684881,0.09107468123861566,28.16057386052171,405.700214168565,12.02367941712204,1.965391621129326,0.9380692167577414,60.89799643909128,0.17304189435336975,5.3417955855114325,1.8506375227686702,0.4995614621142704,1.0327868852459017,,0.3879781420765027,0.014571948998178506,3.1876138433515484,0.07832422586520947,0.5865209471766849,0.6557377049180327,0.023679417122040074,2.6065573770491803,17.083788706739526,0.14207650273224043,0.1092896174863388,0.6247723132969034,0.15782548672958233,0.6211293260473588,2.036429872495446,4.9216757741347905,1.0
AurelionSol,4.416666666666667,11.194444444444445,9.194444444444445,15245.527777777777,253047.33333333334,24987.916666666668,29366.055555555555,1266.111111111111,32643.666666666668,0.5833333333333334,0.1111111111111111,21.944444444444443,9.86111111111111,1.25,13064.305555555555,11675.555555555555,0.08333333333333333,0.05555555555555555,0.08333333333333333,0.0,5.777777777777778,2.2777777777777777,637.5,0.027777777777777776,116.58333333333333,16.13888888888889,0.0,252.69444444444446,141.63888888888889,0.1388888888888889,0.2777777777777778,1.6388888888888888,0.3333333333333333,11.194444444444445,81.77777777777777,0.4166666666666667,1.3055555555555556,2.8333333333333335,901.6961590467148,1.6111111111111112,12.305555555555555,13.61111111111111,0.6388888888888888,0.3888888888888889,0.0,27.0098379315625,488.1165822696873,3.6666666666666665,1.9444444444444444,0.9444444444444444,57.85416675110658,0.3333333333333333,5.865674603174603,2.0555555555555554,0.601594130989347,2.0277777777777777,,0.75,0.0,0.027777777777777776,0.1388888888888889,0.3888888888888889,0.9444444444444444,0.1388888888888889,2.3055555555555554,20.38888888888889,0.16666666666666666,0.05555555555555555,0.4722222222222222,0.23580884785708933,0.5,2.0277777777777777,4.0,1.0
Azir,5.0,3.0,6.0,14668.0,251083.0,12481.0,28747.0,3067.0,30053.0,1.0,0.0,22.0,5.0,4.0,10732.0,8200.0,0.0,0.0,0.0,0.0,0.0,1.0,466.0,0.0,123.0,3.0,0.0,376.0,135.0,0.0,0.0,0.0,1.0,3.0,85.0,1.0,0.0,3.0,462.18773151646224,1.0,4.0,4.0,0.0,1.0,0.0,27.006010390483333,397.406723985024,3.0,2.0,1.0,56.000000059604645,0.0,1.8,4.0,0.4090909090909091,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.1908940592202106,0.0,4.0,3.0,1.0
Belveth,2.833162743091095,9.074718526100307,7.5537359263050154,14489.734902763563,246502.7103377687,17939.06857727738,29787.994882292733,4224.354145342886,46822.921187308086,2.0020470829068575,0.36131013306038895,22.172978505629477,3.8822927328556807,4.357215967246674,12569.026612077789,10757.297850562947,0.1864754098360656,0.11156601842374617,0.22210849539406347,0.0,5.612077789150461,1.5895598771750257,560.2773797338792,0.08393039918116683,82.04810644831116,21.654042988741043,0.0,362.8556806550665,78.73080859774821,0.012282497441146366,0.08085977482088025,0.7768679631525077,0.3664278403275333,9.036847492323439,57.20163766632549,0.4216990788126919,2.5148413510747187,1.6110542476970318,697.8968165471322,2.051177072671443,15.754350051177072,15.067553735926305,0.7697031729785057,0.7359263050153532,0.07778915046059365,25.0005950464775,504.0180132119172,7.746161719549642,2.0358239508700104,1.0194472876151484,62.546622403965024,0.19959058341862845,8.163744012157522,1.5987717502558854,0.5620239842499335,2.3060388945752304,,0.4820880245649949,0.02456499488229273,0.0020470829068577278,0.2744090441932169,0.7195496417604913,1.5977482088024566,0.027635619242579325,2.865916069600819,16.62845445240532,0.12384851586489252,0.20266120777891505,0.43193449334698053,0.20189628373096108,0.7267144319344934,3.606960081883316,5.194871794871795,1.0
Brand,4.4,6.72,11.065714285714286,15779.434285714286,273055.57714285713,24450.62285714286,31573.937142857143,1762.6971428571428,42560.46571428572,0.72,0.16857142857142857,27.745714285714286,6.277142857142858,4.305714285714286,12232.845714285715,10901.742857142857,0.08285714285714285,0.1,0.045714285714285714,0.0,3.5685714285714285,1.502857142857143,600.3685714285714,0.06,113.01428571428572,18.502857142857142,14.925714285714285,443.45428571428573,131.71142857142857,0.002857142857142857,0.06,0.6428571428571429,0.4657142857142857,6.72,77.76285714285714,0.5771428571428572,1.5971428571428572,2.7142857142857144,843.498748314643,2.2914285714285714,12.051428571428572,13.194285714285714,0.7171428571428572,0.7428571428571429,0.06,27.939355624885856,439.2375345724712,6.408571428571428,1.9714285714285715,0.9771428571428571,66.5675715138231,0.1457142857142857,5.6271433249290395,2.0228571428571427,0.5198055184442123,1.3657142857142857,,0.45714285714285713,0.011428571428571429,2.2314285714285713,0.1457142857142857,0.5828571428571429,0.5971428571428572,0.03428571428571429,1.48,17.785714285714285,0.18857142857142858,0.1742857142857143,0.5942857142857143,0.21390755646427595,0.62,2.302857142857143,5.162857142857143,1.0
Briar,4.40625,9.201286764705882,8.942095588235293,15285.98713235294,253480.9025735294,21904.061580882353,39362.887867647056,1606.4375,43250.715992647056,0.6746323529411765,0.18474264705882354,21.850183823529413,5.432904411764706,3.0174632352941178,12698.957720588236,11354.06893382353,0.13339466421343146,0.10477941176470588,0.1645220588235294,0.0,4.766544117647059,1.635110294117647,586.3998161764706,0.06525735294117647,92.37408088235294,14.727022058823529,0.26746323529411764,303.08088235294116,131.19117647058823,0.01011029411764706,0.0974264705882353,0.8143382352941176,0.38419117647058826,9.181985294117647,63.5422794117647,0.49264705882352944,2.041360294117647,1.8033088235294117,771.7123976104377,2.416360294117647,31.608455882352942,10.316176470588236,0.6534926470588235,0.5027573529411765,0.05606617647058824,27.51910158163554,461.58258070909915,11.837316176470589,1.9963235294117647,1.0064338235294117,60.39839162403608,0.23897058823529413,5.678420514240422,1.6691176470588236,0.5315955602394716,2.0441176470588234,,0.49816176470588236,0.006433823529411764,0.7693014705882353,0.1622119815668203,0.6112132352941176,1.5689338235294117,0.03400735294117647,3.170955882352941,18.141544117647058,0.09834558823529412,0.20680147058823528,0.5275735294117647,0.20439287012114926,0.6369485294117647,1.8014705882352942,4.81767955801105,1.0
Camille,4.222222222222222,8.666666666666666,10.444444444444445,14337.888888888889,216151.88888888888,23014.555555555555,36358.444444444445,4667.888888888889,32951.22222222222,1.8888888888888888,0.2222222222222222,18.88888888888889,5.111111111111111,2.3333333333333335,12160.0,10939.111111111111,0.0,0.1111111111111111,0.3333333333333333,0.0,3.2222222222222223,1.4444444444444444,600.2222222222222,0.0,76.44444444444444,18.88888888888889,0.0,379.3333333333333,132.44444444444446,0.0,0.1111111111111111,0.5555555555555556,0.6666666666666666,8.666666666666666,53.111111111111114,0.6666666666666666,2.6666666666666665,0.8888888888888888,836.6697597073098,1.1111111111111112,33.77777777777778,12.555555555555555,1.0,0.0,0.0,25.820065810162966,469.55826234364497,8.666666666666666,2.3333333333333335,1.2222222222222223,51.7777778506279,0.1111111111111111,4.725925925925925,2.111111111111111,0.5634655305912665,2.888888888888889,,0.8888888888888888,10.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,2.0,19.11111111111111,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.2173790463315771,0.6666666666666666,2.6666666666666665,3.4444444444444446,1.0
Chogath,4.083333333333333,8.75,8.833333333333334,15059.833333333334,234610.25,19862.75,45261.333333333336,1330.3333333333333,32091.25,0.6666666666666666,0.08333333333333333,22.75,5.25,3.0833333333333335,11813.666666666666,10177.5,0.0,0.16666666666666666,0.08333333333333333,0.0,4.833333333333333,1.5833333333333333,526.75,0.08333333333333333,73.66666666666667,9.75,0.0,969.6666666666666,120.25,0.0,0.08333333333333333,0.5833333333333334,0.5833333333333334,8.75,51.333333333333336,0.6666666666666666,2.9166666666666665,1.9166666666666667,669.5678243070597,1.8333333333333333,16.583333333333332,6.916666666666667,0.5833333333333334,0.5,0.08333333333333333,28.150684398229163,419.50056855028805,7.0,2.0833333333333335,0.9166666666666666,59.45000007996956,0.16666666666666666,5.6711309523809526,1.1666666666666667,0.5277211392344083,1.5,,0.3333333333333333,0.0,0.0,0.0,0.25,0.6666666666666666,0.0,5.416666666666667,17.583333333333332,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.17652267716065362,0.3333333333333333,2.0833333333333335,4.416666666666667,1.0
