championName,Agressividade,Controle de Mapa,Eficiência de Recursos,Pressão em Estruturas,Sustentação e Sobrevivência,Impacto Utilitário,Impacto no Early Game,Controle de Objetivos
Amumu,0.12696304770254752,0.44392862179562437,0.24727429661071804,0.3128070160324366,-0.3730163997909054,0.30647463294475197,0.2531104841694744,0.6021202478237218
Belveth,0.3740855227170378,0.37771688431564154,0.5267569070927027,0.6916774435746147,0.23650368804119404,0.17014178949099584,0.6822209895870364,0.5628905272955285
Brand,0.24301068188807504,0.41126519682836454,0.5747855661992259,0.33054049407195446,-0.355866334399771,0.175658670699202,0.4763905748369313,0.5344531127639303
Briar,0.37956336044430256,0.2874884248747811,0.43149420931644505,0.2575671181750859,-0.2376606992803284,0.2645890933000589,0.4016545828896745,0.4023611326820445
Darius,0.2715224124649536,0.32294298701401997,0.38012482995929336,0.48244843055394143,-0.08959611472881485,0.28088225958876145,0.42304493923944925,0.4706454707313488
Diana,0.30891892609931754,0.34860323864302295,0.5551999046615733,0.600399214727578,-0.15717740692984583,0.23376257400001035,0.356135993277626,0.451745396313005
DrMundo,0.14886183058836838,0.5004355291214996,0.5590283938647382,0.40263930778604323,0.3028314930501897,0.09259975417838087,0.4985455793133131,0.5657449459274643
Ekko,0.4140050144566828,0.382500425611732,0.5498503413521251,0.4956153878573323,0.2472298607925621,0.14024428043014175,0.40553211299526665,0.45133234472445555
Elise,0.3670794022636581,0.33433664259005075,0.3341712151786494,0.5648776564794207,-0.08511372289952657,0.12962251477452863,0.27679515500726143,0.3562537751390734
Evelynn,0.408171006509224,0.20348832500743486,0.3343553037537767,0.18706412535095154,0.187654360157549,0.1746619851539269,0.27063985209942926,0.1600355984609417
FiddleSticks,0.22875891815697566,0.43674808165945295,0.30983079504886957,0.16629408359792652,-0.07034649727260167,0.32984454225376403,0.1526018579926736,0.42571635253999685
Gragas,0.3023767433180246,0.4200869682650884,0.3624965417362548,0.35133585063457223,0.014782810370160604,0.5177548093136566,0.26018383680156765,0.42802954773893215
Graves,0.4014369034381102,0.44358028726906745,0.724413120826043,0.5431913190383508,-0.08364617963728299,0.09219986166322466,0.6043102590885178,0.49126706192984976
Gwen,0.30456684698009107,0.3643276823109577,0.7353236500671176,0.7576620576283342,-0.027039039616957583,0.0209037355231743,0.3454334398896662,0.39919304707561276
Hecarim,0.41124704372618165,0.18823666831648633,0.8021655966190633,0.19524772429503887,0.07769090851267141,0.41120281029765504,0.7460504694827482,0.32045934089094263
Ivern,0.17147014855130502,0.275251452529633,0.23374640721239087,0.3321760152226663,0.420248800225094,0.255131228662602,0.28721216646814823,0.17722743085757792
JarvanIV,0.3816005119284863,0.39692690621362187,0.34509883510991324,0.4206232706417249,0.2558223652990215,0.19051668803900773,0.1951079720950167,0.37692641175935354
Karthus,0.5731346350375799,0.23216480838718087,0.7977614338102675,0.12844359953678647,-0.7459755718511674,0.01158716421312798,0.9023828180868524,0.3200833340878121
Kayn,0.4291172935388711,0.3423662582516347,0.609913619747608,0.27673281498611557,-0.14149943495789896,0.09218715347314632,0.5349891408442752,0.38460011356163004
Khazix,0.44827254174383174,0.388735611643067,0.6495590490430112,0.2785007100321023,0.03901564038329852,0.038158300505912665,0.42704297625948734,0.4282798383995349
Kindred,0.4367235691011298,0.39482981314959426,0.4874691344605834,0.5236530860738569,-0.20146274023088845,0.060187430718314214,0.3655150871885651,0.37766683545943286
LeeSin,0.37125215100394793,0.43286429583896724,0.35279629424132974,0.26008726108075014,0.15012508350365988,0.23724895302749127,0.36439717169029734,0.35991988997023994
Lillia,0.3145454123759211,0.20262172531339556,0.658449134576449,0.17746632401882345,0.28516029546823596,0.1327242466148319,0.42754453430484846,0.22847539356005428
MasterYi,0.5577149983915045,0.3345520824632071,0.556038742597373,0.6106338632006025,-0.28141453833988317,0.012320408640333232,0.3882616681058164,0.44808012180238377
MonkeyKing,0.2197497709168744,0.36079251214614927,0.35972726353435763,0.5447161797759549,0.2064260525801082,0.1348862595567644,0.21759451913131933,0.42222132435600707
Naafiri,0.39964736463198103,0.2974269260410871,0.5898045406568337,0.2577686342364465,0.2569424040142226,0.00139662914300942,0.4709783691643133,0.33705440220794397
Nidalee,0.4055183681540543,0.2934963857805736,0.5038968419259586,0.4045487224438028,0.26689056503441816,0.0411731102908599,0.6864858337057577,0.287199424569339
Nocturne,0.2697665655930566,0.34667812431999256,0.45825398902002334,0.3435863832208845,-0.032944735037876205,0.1852763179611051,0.40160960421803155,0.3647126612285342
Nunu,0.22718885893484003,0.5112316333465362,0.2372708066982454,0.39266435795574506,0.13199459253886991,0.4640527814212927,0.1210411397992659,0.719275051469541
