Name,Tag,Server,Region,puuid,Key_ID
MMT Braza,Udyr,br,americas,OuJWp8X-z9l3CWQ4ZMEM1LkhgVDunyYvDauomVwb1W3iE5oJQOh5JA3MzYzTmpYRAznrjanPSVTs5w,9
Jordan Belfort,GOAT,euw,europe,HwU_q_eb-0WK-wWosGxLsPBpQwtVFbaGnDHDAFkQaH25JCu9hTmSLuGb8gWE2uv6UaAoQ5gotguOfw,9
fortidragon,1033,br,americas,1FCmLF2xb8HHI29X7XME5e_IwjdLA34TE7wvT0G8vCwajVJ6Yscoxn70WHnP_hUTe2K7p7n909cPHw,9
Kemso,EUW,euw,europe,13CjsqqhM_rkkXPy3m-uT00YMX-T7zLrrUWwKTB-lhiPrQViNR_XTyACeYmC1zrWuwZZ52Prw_6dRQ,9
DeathShott,LAN,lan,americas,mYB9XkopY9jwt2g35vJcOBZrhMiqLwaAqNeb5GgUJqDG0fG_RM6rHHF0eS5AgstOFhitTS1FbL7Oww,9
TPT Casanova,LAN,lan,americas,8qPIpAhmKwYaBcArpjchVK4b_Nz8fw_9p66Y0oZIZ9zzAKt0byS-GxVLci5N9HciE-8GXpO7ArQisQ,9
taru,001,euw,europe,mOt2XBAcBG2UVFTxJKvhcKJ3IzP5kzmaHmH5o_62TdiQ_0npGUyM8aIPWC9gxKPC23RbuYoFNbpQWQ,9
Daydweller II,EUW,euw,europe,MzxSV0j5-g2LmXiuY1B6nx6Beoaq42tTL5OukpxMoj0VTaYB1lEVoaklSnnpgC0jvPOaDvzze4jwRA,9
Paradise City,YNO,na,americas,Q-EX-B_9rNjux-Sm0CtGqirSz_K_mCzFVqyNcIvyTqsdoXRGk8ctBqwZiaX003ZyOaaXKPNKJ9kxzw,9
Fanell,TR1,tr,europe,vtDRTUiZl3jI2SReGJH2m_40txANucv8kBcMeZI8o1tZ7aPec69G5tQzO0hjr3AncYX6WKKVzv4c3Q,9
Promised Future,Suki,na,americas,zO-oFBoaUtZdtAXMFgd5aE03snM8CrTt6T_fZlvrW2_s-7IG2yHhHW9Z8XHuhNO7OQpyvWJ-k3tyRg,9
Whitelies,tia,tr,europe,b5JTXaupcA7d70rafNMRv3iWezdQYyPSsVwYAsqfdroJ029e4NauswBHmfl5nY8VgF-1XRteo9Tf7Q,9
TRC Nidalee,LAN,lan,americas,LrC95QkPz6w5AUiMsSJZ5SIq-IC0pcIyc7uSc59KHyFTD1Li9tsIwKKJSm6WwXkB58YwsolUQ7YiGA,9
KEVINRDC,LAS,las,americas,OnKqv6Uy8wkN0AQHPBT2x89OhEjwrI6u6BG1pqauSM6-nzaoYovTtYIl5JzBD1Fb4BeWmW30NDXNzQ,9
L9 RONDONUWU,4888,na,americas,nh7_ChZJ5DWCXCXrDZTLYz1rmDHzB5MKH3jNa2tB3179bEdFD0-8lv5l0uC5i4A_TxpvJrwlGiamFg,9
KleinBrein,0172,euw,europe,aTuXA0fobPUgEfWk6Fg0YjnU376eUgghb7Z2U1W-JVM0P8m0EvBSUr73bKr8idnXLiAHg0t4z4BCYA,9
DS Spirit Wolf,LAS,las,americas,_7f1XzYJ8p_TZ8bnSwyvQaCz1JXAqkrV67J0TkNiW-BXFHHhZCKDTAoox9hQwsOOl-a1qL7N3d8aOQ,9
Zilean OP,pihir,jp,asia,hjlxLyieXDTl01pWeSYwPME16St5Qnq8D6vgJEDx7_BLFUOm3FY6lFfuksItG3SpmKsA9uqXYboFew,9
Coach Cesar,NA1,na,americas,vsKXNkuJfjcZmKR0bvnuZpEw5y2j896MujVfuiyNCNIZBCxgUw4IK5VziAlwIj3J4Gqf8NVYqRB8gQ,9
LEVITICUS,0000,na,americas,tKx0gUkwvjQ4x80voU4VmuWSi8oHiQWdVaSW4eIoBhjglzcO1ot1waFqibpW2nWFoWuvxaSJT4JggQ,9
CanPauseAlbino,Okami,na,americas,c7ce-tCIKiwt9qBjzY7V-XniBWMhsRxdSWF1_yout8ENuxyN9wGi3LzXYyy0vB46u4mvN6UmA93Brw,9
Crazy Halil,TR31,tr,europe,vLi-8y-9jnrZ66rcusx1HhJdpomc9fANLsBB5vAxqUq3aTXNyVgPXC2ZLWxkqSR3Sq9Lma6LOnMHkA,9
oh tengo suerte,8276,euw,europe,7s_6kSCU1pc5hO0-u2KNTzw6eG8Wdg_9Oyq4fgZkN_EX3RFq0MkNfwdht_NGU-OiMdnC903z982JiQ,9
Giisuka,poop,euw,europe,fqMtJ25GX2qbmVrJtG4xBn60eNtDZ6w1rTcZhJIYZOOUFBvW6EllhMR98DNMYonqbVVqgRCR41rDSw,9
36L9,EUW,euw,europe,m_xKolO7Otw9Ykt5hG2i0tHMi_EeCddS-xGBLuWrYD3g8HJNCGroPzcxfqVam1ZCuAa0YnPTBhKbSw,9
Jellyfam,br1,br,americas,RmskMPlGGPutOvzRpSScMefAZiFEnHwgj_P1MW1wsAjDu6xk6W90I1Rk3k2q3zE_OLgKelr9cmJrxg,9
Zoro,ITA1,br,americas,w5VGjP8IczJbayt47jt4EubFHhHnEkeX3e72k7fwfBPTD1lYfy5BLcBEmExF6sxCW9y4ugskNucIQg,9
Pernambucano,X9ZAT,las,americas,AGxg6ha3vPzpgPAiuN7HKxgS28BtATja9GVNEh4p52UVruHnT60tIbLu_u15yzZpBYSBsVdkeWIV2A,9
superpandafan37,NA1,na,americas,dwJmcz7MVR9MV648m8yAIJAP26rkMLKjTU1IMdVKBzKi9TOjDhMoEmyxjH9KvtP1DsjDeYwyljiyGw,9
