Name,Tag,Server,Region,puuid,Key_ID
yss,911,eune,europe,IWNB7cJerFLN0o6U254URmaOTHKXbxd5K1TdlbJN2ckCDT-TdBhVDk_77DF7LgBNTOHWkRVss4i_Pg,6
Miasekin,1912,tr,europe,ZZORiIC5whPRXW2asDtM_04EbvcT5iJzO6h60yayQNmND-umKmdbaQpizxsKMoMSyXgJEMFG4mlDzw,6
DiMaN4iG,4ypka,ru,europe,JD8IpdpB6Jz_prfZXpVy8DQXmfkV8UofIGHr3L0MU2E67chOpsmztlvIFJYegYAwiV0QYp0P5ghKlg,6
So bad in TFT,NA1,na,americas,0NpblsD1CrsHES_XzrEmcbjTUOKdcN8mDhhuoJtYhw9f1KFPyJV9DGVbAif0MN31LzkxpO7XQBuGIQ,6
berryrasp,EUNE,eune,europe,QqSabLa1XVKl9CDiUg4N3j1MvGUljYdq7Y_vdC57B8kVCq9JetcsT-tvLyBSv2WKNvs8sB7vG_Kpjg,6
Anchor,XDD,eune,europe,zD4JlzyboVLgRyyvNd_wr8rhDOjrulPXzLtb1qIXwVrbErR2VuQyQM_nsPBxKYrlviUlIAOKiw7fVw,6
ZAC TILL 1000LP,Krtom,euw,europe,WxkUi4E2qIjMlXfxYD7fUkRVioCwKLL6F5iRHXyuODrdVRKdLVKrDEawmDVrWty7k6Zro5MuwV4oAw,6
lionvjug,031,kr,asia,bRmO7G4okkUM-Kl_EWKI3GOAzO5kPP0yr0xJkeBdARTfarh3RT18xAro4m1DVRmTTqRpbAX7Xp_5Gg,6
Luizera,nos,br,americas,HHTmKiga5T4E4BZhQUtn94dLwZ96-0N0JQxLAFJGgRlhIrdm_BdXYQ8Nkee7q1yjhPj3Twq4-BKX1g,6
22Wolfalpha22,WOLF2,lan,americas,d8JPuWSmU1P8UWGAWRRKbUZdkiE36EQ29ZBIHPl3YRNvrIrde_ACdiomlo_YzdhtHiW_sKud7eIw4g,6
sia,lvoe,kr,asia,KEcnnd4z6Co3awPy1R3230ADIj8Ux6SFIqJ8ogpYySwovc0VmtyzNjDoSqKkKLlZ8n4B6l0lZICTng,6
Jabberwocky,1871,euw,europe,VaUpr1IDIaccDnPf8cswB0WSH9clGVbsv_nO84gN-D9X4_FlaH2C0xw00htsQoynOQrIRlRz7xhXzg,6
