Name,Tag,Server,Region,puuid,Key_ID
Eh3,EUW,euw,europe,XdjAQyTT5SY-xuoN-cujjlQFweEL9OG26SiinJPWo3beYHbjh__xegBIIIgMPlY9g-5HXtjGhkt8PA,10
SPG Sapitolegend,SPG,las,americas,o2DMx07uwTP8NEMVYzKnRNmiNGnU7yqkySoE2VK24VKcGblFSMOBr9J6d_dfG5SItL6GcNzhDiZ7YA,10
2TR,EUNE,eune,europe,cEwFiRlgj01eKGgwRUJowPbTC4k1nXMTR2XU0A3Fm2scQ14LCfRN-usvCbYajrz4ZJllSoJgHDzZPg,10
fresh rust,1  7,euw,europe,1q6JsFPbbRvlZ18qQb8eBbQijHCoCaPG65QDmgYJbq-vLPiKunHcRZZimnd0jjPB1jFFvw5FOg9kCA,10
FINAL ROTATION,JGOD9,ru,europe,yM-EZxX_Bv57PQpOpV8LayBYbSVpX--tlPX8WCRNpITgp2x1-rpw83R0Zl_M4HsrQZoaqsjpvbCfgA,10
U Say Ur Horse,NA1,na,americas,HsaPo2Ouon2vPEKcWO8_mgAY_VyfGB_FD97fOYRlZHxErYNENBT1ClEjV5x89HL-zQnugiWupX4qOQ,10
PinkGoat,Axes,lan,americas,Fn9hbbcrBesVSVrDU_3-jHjoUoN-KaJfzrTFXI07afiOOuZmkoEbcdIh49ZXkV0rZROGp_30_gdYiA,10
ROUTE REAPER,WINv9,ru,europe,QLtV_RxpK16gOmJSa5I4JHgEpg6cjyHcig8h5L0UfYKdD9wjMHjF3fayqw93QB3Jo9Hq5T0Qar1s9Q,10
MELANCHOLIA,LXST,tr,europe,mqngC-WAqJiXk84zav9niKYQMFUvEQ_juAlo01FcyNIMuQR6Vdiy_Z19hFXNeLbKrVQ1HCsQaFFaUA,10
DEATHS TRAIL,HNTER,ru,europe,3LVrRxrj-66__3q0hxjC3YKTOdJ-WSIwogbEbTKagmUgxUJ3zW8hOPAGqjFlNB2i2VZdT4I2o6IvPQ,10
ADC,0214,kr,asia,J760nxagfLmTmd48w2F_hm4NIC7fZ3j31-OhJcAU66wS3LTItC5z84jDbQKEr-lfOdiK3KHLSMz9nQ,10
YeQuan,hhh,kr,asia,6A9Nw-v5YE25pIaf43t9H5lsisG7kmFA4ULL0J0f-5ZOxMmtAYsaiY-m2eL2wFZIWVnu3aRuekF9NA,10
oX1E,333,kr,asia,QxazK-2Ty-sTrKFYAOml0BC9uZsY9sL8MoR9gVRAVGmKdnKV_0TxKu_Jx6PVwou7KSD0csXPBJ4FFg,10
mrqzzzz,zzzz,kr,asia,74bkIiSXBEi8MhPBfvDW7TIRBPLqgsnhor_ZtYkAiFm7Nt6NPYs2h82KMr4QhjuSn7D6LH1FYhGlYA,10
madara,242,euw,europe,yaucLfx58lmavV9VX9jWVf7PdODzehlNNhczE_vEEa0v5YHQQeb2RoeDEIqklJOdoJ3wv88RCrqDxw,10
Pray,7 5,jp,asia,XnFMVVwAsiML6uDXaiCCyUyJFFWmU8k19n8URlFz0JFqwW6FSYKhOhEkMNo14Qd3NFQMeni028TMXg,10
accepting facts,euw12,euw,europe,zW9fzk_Wp3gyyLDxycMS--4G4xIVuUyA3kXNyVqzXBw_pppzmzAlBz4TALK5l5aXgjzJUHVPkumbKA,10
5ian,5sz,lan,americas,KeZWQ-lPyqS7F-qAz52GurZMCEJXeNqH92QtuZIfMan-cTP9cCyZPwQdQpjPb5V9Wx6qLrk4dcYpBg,10
KINH,NA67,na,americas,vinZWECsv4dkaXdCvsFGxnlOv7cVKrKzDGaoggYe_t2PZ6fnkm-9sLkqcRV65evLmKN1MIzwmikRdQ,10
Katakuri,Kun1,kr,asia,XkIMTK_jdikUBjqMwHXItkekDkfdD2GG_cAc4pl5Gdp45waQOfVLXwJIoNMhxNpjN1ANjlMBRyaXjg,10
Karina,Real,euw,europe,MuSRqBwVelgyAtVW4LfZR8Xlpdo8gXDtQoBI9B3BYp7SVVudrzusAXiAgY-IV0gNxR9i5vZ6SL8DyA,10
lyoto machida,bjj,br,americas,9j7wILBs0ry4CaqxGWUqJegIhvBvOkMecrYNQFShEtSXUCV7C5I7iJAYIpiWPE3PxECG96gM-jvccg,10
oebfjof,EUW,euw,europe,N6DtFiX2cePrLxwdu1HHVEHCTF_LLzHYYIc820FpB9bOCr1s4dv1EG_NS8E9umLY_GExc8TW1JqKOg,10
nino abravanel,noego,br,americas,qCJkvBeFm_tdxYxEkA6EP3P6qg_ByfPKE2DH9A3zG_2hWcIkk7EEaJ3-6rYvLoyyyzOR3CeoeHkMKg,10
apple1,999,kr,asia,A9C4MVNF7-DreDxKlZBU_srdX-mman4xxbNzEcw7wdbyBI-uXocfChkg_7MbP1xhuonkkq5CK-p02Q,10
JNG KING,KING,euw,europe,Xb3NWIBBuo_pV4qnVLYJUZQr1tL7mO-8h-joGJ6XY-K6RZ-X52DdTHEcyrYYgIrhcBCN7VfwWNqc-w,10
