Name,Tag,Server,Region,puuid,Key_ID
Regl Koklayan,cCc,tr,europe,jjHD7CdIq1gYQuxsbbGIQwfIheLjwxuus7HzfJNjRCZIRdSwShBPaiuDgThc6eIbSXJEfTC71pA7fA,5
TrueAlpha Rengar,Alpha,tr,europe,eCN_4vYvljR5Zv0aGtoBIdhfDYNXTxpEtHnGaJEeS9-m0IJ3F1gBZz8H3Q5yGSRcy2jh2WQAmRvUqQ,5
Unpaid Astronaut,EUNE,eune,europe,SogLtjM11aoEnHdulH36mLhP6K0yxubWmxnGhYd2bnqXrq6L0oS5HXXx1kzrDtrOt99V2xBV8kygSg,5
aggelossl,EUNE,eune,europe,zpzd0duWT4ajMwhkemOE6boJxOVsTo91ojxJzzVKU-_83oPVfLDvDsIrBZb8DUGx9M75w-zmIDXqmQ,5
IsrarCash,444,tr,europe,mCrjIwkK77AkfehLZm-iwoNburHP8obz0C21NAetg-DZeQeOpH9EAXYilgDUcKdpgsaHRov28I5W3A,5
veveras003,EUNE,eune,europe,dcmBVCg-WHpifS7KTgCvDelw1uob5V6Xjzdwr0ZvacoU_VNPIZjZ_AzDzwcZIMtYLzTjyFLf8azu4g,5
StrikGrunge,BR1,br,americas,2F9LTtO_OHAmojRGOAQgQ1O_9g17jh7NRbGM62dJtMuvUy6pbbQ6UFYi1G6t27X8nGAG3BipfJU6KA,5
Exotic Ninja,EUW,euw,europe,n9jDgiEI1_PZiuN9RABbela19bUmu-mq59gWTlEJwN7dFI_uFocUdcTPX9-5mNYiOPupNdJzCz1Q9A,5
Don Nunu,911,las,americas,0EOV7Ckr124L8ZKNlBI-8VDTWVNK8ian00C5331OaSoM4oAqg8fL73M6HORCekJVJFuJOgXFC-migw,5
miflond555,EUW,euw,europe,VjfKw0jra6IL59ddVVJgjjHgB-LNusRaWbR7ClPnpbqli4uhPdRAJAVKY3ngOVPxEMBB2NPAwVmAcA,5
Glurby,EUW,euw,europe,kQLp0UCDh28JpwRHAy-Oi05Oiher18Jb-YJJRopcYFtzvZ6h8mz3TjXIyq5fV3shhejjNMS_Aekwug,5
jufriosdhso,TR1,tr,europe,Rr_i6VKDaE7a7E_mEPodw_WoKJ3QV_hhW-KvLOgJphlU8IEC0oerD70QGju6vZBe9iHgwNd5oq3Cfg,5
Zane,9970,na,americas,R_rbFrTNmnNghq7Q6AU0CdR9D_qVBIKJIjilosh8-I_GtnRAX9GRiuURCGeUvl1wOQG8olz_b2_VkQ,5
Sultan892,3mk,euw,europe,2vB2yGs-VNhEhHMGGCUUq7fjshULJh9BtTjlDkwBr7WAq5eU1lw-EHbKmSOHF8yILHDwaq6z4Ab0KQ,5
Tuzlo,NA1,na,americas,R39opLo72yJx9VGRFXR9eNoZmkmv5_RShIKAj0qIspyTUPOAfafMIgyRYy0e4268a3LDq94BmB3xiw,5
Dakk3 LFT v2,EUW,euw,europe,m75OpvWseHxHou6pbDCaaWsi-gqE1-adOUgWGOZApcqwyQwfxDRAedWbtfkeRI4U64cnuNxDjK6fMw,5
rroyal,br1,br,americas,BKlVUw8Xp0fTU1HNLcXgByicqeLTEZbpbM8RiUoqeZy9IlFPgApQDmsOSuAiaoQymbMqpkyHJvS1Tg,5
Blake45,LAN,lan,americas,Cj_4pgsGddhlcC3MfAzJXbZ4ZJojX27XmOTntvalsw35mzYwoh3llDT2A1Ly5RxjMKcS3hvasPimvg,5
Hustle,RU1,ru,europe,CsfSP3_s857UMVnPtfLRRMlwvp8ve1zbGrKnTxrK1eB4nFWOb2RDuOwy4GTuu5TYGwhBs35cR6YEBA,5
dota2isbeter,NA1,na,americas,DQSQVfmHjfc5P3KR9yUweDUfAYElm2kRJGOUYiUe2S-JF_DtjLYjn6l6UDaaZWhzCeYS9Ki7AzcTdQ,5
BioFire,EUNE,eune,europe,3MrWVNJTJsKsuZ9cn8X3D_RzNs3oPBW831c2MNdOr34VzwP7wJ7YRcEweeK4WyDk8ItkjS-ymwJahA,5
SwL Marrouu,EUW,euw,europe,zasH8IhxdTs-bs2slB8J3-6bIqPi9FrOKqNI0g47LcLWpAUdU1kpFx_dpGE_RVXfujBiogQzgojgcg,5
