Name,Tag,Server,Region,puuid,Key_ID
kaerboN,945,euw,europe,YuBb4vpXOTjA0A3saThkqnawn0-WCStqvxDOwBjg-REVSgLIDcgAVUQSXu0tv2tUADFDn5b9QGMdiw,8
pentaless,NA2,na,americas,oERKH4ArhSN-_d8LI4W1DOSYcdQ0tl7W6i6ex2LysZKVVz6NDjXPVN5keo_37D7H97RuZ-38LH9MiA,8
IsAmUxPoMpA,almnt,eune,europe,EBMib47CWfYzH9ATAWZi6sxOASWdSXGuw5utHg1SS43si71CIQgfgNhagrFUQJBnQjtVtQspW5YD6A,8
wigabee,EUW,euw,europe,_A4HQNHO8Kuq42KjblRsSpHB2BESF_32P4QdZ0Vyb_lqoZ0DnTvDG_aBP-igAc9istX7KoF8PHi9tw,8
RAVE BAE,DEVO,euw,europe,WYPrAqy5rOLZHftQ-5HDDOJOXWbUUBHq40hhKwkSPnyC1VjfWJ8DSL-10JifzDwr7wJdAiMGVnxxhQ,8
Kusakabe Shinra,win,euw,europe,-wF5gmoXUbPrE444dZJTgVhz91IZFY_Z0ZO8J18RV48OAoBCRsuaGhl9iQZ2XBBfE-rfRcY2TVO1xw,8
20 03 2003,945x,euw,europe,FQP6F1TF2QxLJZwKpoR2oxRrjQ8Ng4RjzdGhbH9Q7kl59_Sxb9PCgU43sTsuLnRnYSLUZImyTpSw2w,8
18 bmi princess,julia,euw,europe,GK56P9t91j3q2pOse-iMr02Cl3q2knlf7IMuetMi9WOvvVTfK4WjbSTTpq9GM_aq-P12X6_6qDBLKg,8
glory,pet,euw,europe,3JkIpwKfrQv6wEgJyA5DLWlE1-ATrAqQOzUCeAhfNHz6DjhymEmiAbtH-RNyEPMgJDmwnCQKE8HOmg,8
II Asvii,EUW,euw,europe,c7rniGQymlabdhydXzRWuNE2jvxvmCdml-Mi6w1hoPlcB-79__huaMeFYPeavdSGegFtI9O4kHSVGg,8
HellCaseAddicted,EUNE,eune,europe,K1t8LVd_Xi3_zOT_umWm3x9OeC5UWebkF9u_9fS8qYyG6ISAeI1W1_uvFarYsjG3JbshmvvdJeZ_Dg,8
Spradz,NUNU,eune,europe,eqcEyItERM5zy7TVuw3UEpHyndDsVF-rNRB8l72S0XirH9PCmgLw4VZ8XWP_PbA7wejXPjjN_SVjTg,8
Showi,DBZ,las,americas,Th4LtWTe6LlPos0rdJrIveYRmy69WhchgkVGwNqNf6bXukjAqw47ZznkBzVNu2gFXuwKmwFQ7N4sjQ,8
Xukz norris,LAN,lan,americas,QA9vHk5Dj-DguFxjhojhfS0pzeYOFI-g5xbVYsEBRn86O2wkRviAbTnlHIoSWuMR2DdJPikd_fIgPw,8
SS Karaboudjan,NA2,na,americas,JKAEnEMw5tlhPg7KRqRZVvNh5AKSRkthhWqAhfdVzGM9EbMO16ICDje-BNj1ByS7hcsmNxv8oKQuzA,8
GHOSTSKULL,021,br,americas,uHIYim9OwTf3zAGGjehk7FUQM9D1LtqA8dGtTBowBkW18H-OltNZ6TO_V6ltRX-e9iJWLCffH1rKuw,8
FVN LELEY FANBOY,VEIGA,br,americas,schOBq-xpTdAfXVsApZbb8bxn9x69EQ4h2UWH-q2fSTSsX6FB-WVVNysySxKUh-JY4_yaM2bxiUG_A,8
GG Nunu Wins,EUNE,eune,europe,SHBOWUyAEh_yjlPAVrAtsrcHtUy1ox_l-_T9kStRTQSQIXpcPJxgJTpdzPgCudchQ66v2f5YKXzFfQ,8
monczos,EUNE,eune,europe,WBnTe-_-y_lkCtknt_-3Jb-FOHcHQz1q_44wURk38TUMtoNHYOB9IgK-K4bi5cDCGdugGeuYBTfGzw,8
