Name,Tag,Server,Region,puuid,Key_ID
Avispa Culona,lllll,lan,americas,_AIo-Bi4Vw8GV9UM_fZy5jt-m2t9Fy65DQUOztI-R4VGg8GTLq7AfLKtXuHCoYQ4a-CfoOFeJGAHpg,7
Swanysskel,EUW,euw,europe,8kqR6VZEXO-byfZqLD1O1lH0YAxG5BNLbyzyNgR23g4-oWj563IroxGzhTGt_sB3iXy8HQM0ALmhlg,7
Finality,K405,euw,europe,baVLooO_3UBLRzGVKViMiO7RQWpUCwTBEvo9J7npb9Yne7HJOWB8aQXqO_2mp4F329fFdfRGfAeAlg,7
Moonn Shadow,LANA,las,americas,geHffA_LHOP7WGlboEMgdNabYgRCkFKg4sfSqGUtpZy8gucRqy0_fHg8LQXn7bKmidKNIkk73m_BvQ,7
wx PAPITO,jesus,euw,europe,M5um6oFSx2loq4PPN1qs7lDr1QnSbHK3TvqiIkIlqaClMzSO4w01Xy6n2bmA649rpmCZQYU3u0CK2Q,7
incient,6969,na,americas,A2VDOJe0JHcTEvb4zewtuRC1lNjWV02ex4ig8D5f-IfdF25rdr_7Hb6T6BHNgl-_D3YwiCnXuft4BQ,7
DRINK HER BLOOD,876,tr,europe,w0E9hrQT9gSsdjLOhSDU0YzZfeGzmEIJADEfhUkwM02qcGWZ0RkMgKxaqJFeJhDqh2kHT5fj6joDfg,7
BunnySIut,999,na,americas,lt83vUEz0-gK5KINrbJAqNJ36zSskGAVnyVVYYjbBpOrvLK7AktzY-4txy_FBiJxRavXOXKLiy2s_A,7
Pegqhund,LAS,las,americas,iBYE6GIpyi_d9FH-29SGj8nW0yMILx0XjQFRhAW1vI1YhRRcUWSk9B-mXJnuYszd2Zmk3u3cp8NBQw,7
L9 NGR FKN1 LEO,HYENA,las,americas,aitxBRL-Xbph6_Zu_IXVSkyIFfN-c5kGMFuI9w4wvqejBjcCe7sGvx1_UV1TUYdDyA1BR8dZJghXWw,7
kicktv Lymos123,SZN15,tr,europe,k5p1ZVGf_jEMKrFVV9Qi9OFafCbtwOBnmsp6Hzljz-zt139BsEoqunNd9tucH6gaC3i_ycx_Rci1RA,7
kill dyll,876,tr,europe,MnHSVwpSHYJSJC8ky16F5AGCilRHgAt-HkRsL7NaL-XPDwqITQ0_Va5UqTSMskoWPgcTiwX_lqmqFQ,7
George,12310,euw,europe,n9IpzbDoDa5nN2R95B9-D7-k_30aZmy8ovt-yfxE-RF8C3DASe3kAvCz9wVOdtRXC8f5310bMp1xpQ,7
onvt,vvv,kr,asia,ezqK-o26xK7Z6BYM2qp_JJnNGHulSVZ2es420A2BWpGDTBu1k182vjVRS6kULlCblVR8dlIHDWdhMQ,7
selfdestroyer,mxntI,tr,europe,KejWYSI1R9giqmHjsL6wlwybBURO0DvLAqLbWtrJ8ch879qU_K4vYApURKQySewZefN2oKxtKNekQw,7
Sherlup,NA1,na,americas,CluEbrtH6zN8SMUUK8ThYxgfOHJo_1R1fR9tvWPpj7O82NoIvKEjCBkLR28A5g4Be5zfHUBG8jVHlg,7
SKT T1 seiya157,LAS,las,americas,uhdCHHVt_6KZUicCipGl6D5sHEK8fFAJfS6_lOqBGd3_air34os977UFnS9NE1j5CdFVx8WZx8r1iA,7
kocham winter,owo,eune,europe,t94R_8mxdI0X9Dikb_JEeZK8QGMUxcqqb1F32GLPxkz_LHzqsy8OGbhyNWrQ-qKx6pMiMDleMoBzrA,7
Aurora,1678,tr,europe,l7yctEdXXxpS6JoIju3XkWxBk1wKq0n_iuiGvJMTzj6XLlvh1d7xejWXGgdhijRWJ_86OCz7oH7mmA,7
16azsxc9jxzho0hx,454xx,las,americas,LDPF2ygwGRLAHvE6HPCLGTfkb0_1CYYdZC5Jo6PDyK80YGG1iJjpPG-z-6ebq7KFYx8tJ5qJ4p0zFQ,7
hopeless,1310,euw,europe,nvK6joDJoOM0Ja_GRedBs0MXhtEGZDNqNlrYy0C5v--lYNv1OZ81CKnxZlZVRDOU7l3FkSkNmvmV-g,7
MID NEXT ADKING,1SHOT,lan,americas,dB6MSlx4XXg8e-kk1589HKbGZpMH1jV6CrgpK3JiwE2xyUUcldESNvi3I9kfHZ_ekTXJ4StwEKo81w,7
THE HYENA,fist,las,americas,JZx6rKG6sstNqk8FmHFx_UNhtMoNGYZHi-vAryAH2_Pv2LvpUcB6SOaXSan7u15ZwMUuBgKrAqHUng,7
Discord gg dose,King,euw,europe,26Dz6qFEHMUD2K_a8eHuEu9Tfe661j0mNUtCctkHg93KaghaQx79X-7gW9TWpi4xiGc2siBLpsIGLw,7
Chanchito,ARG,las,americas,QJdKLYznKXJx_a3lF7M4pX0CtBmdYkRY_0-PU9MWV44M3tE2kxoa-jOwZ-QpSuNdLRY3ZPPrjgquHA,7
