Name,Tag,Server,Region,puuid,Key_ID
JerryRaynor,3536,tr,europe,3YfUVRXQqO01j7g0fIrwwWuTcZF1k_m4rz8ssFu8NK7j7JQqfyGAZpKqnoarhW0q70rWNyj1WeplPg,2
Nezuko,Anita,lan,americas,Y6XEOMfZWg_nOyhnQpkpqJoLLI-aUccJhwwlOkuNJwNVw3G8zauc1lPO1U9QXPzyRH8LuceujUy85Q,2
OnlyDrago,LAN,lan,americas,gHdbWyJ8IF8LUx2QySnXccp-Y_B4GheNlFfesPkWNNOr7guvAIJzP5vbkOp2Cl7O0XBG-HRulordhg,2
can win,KR 1,kr,asia,lKN7OeorG-M28oyA9wEhZTnq5wVlYSf3Cr8D31bdrzLsBrBII1_AebwoCeKnEjJbU_J8SxqAGN9wXA,2
WorderCoat,LAN,lan,americas,UD5xiByQy_ibqaKgv2ShRvO3ySqtQqfBN2Bt5FSdgqa8MrD3yfybps2aGsihpGBqXHJTnRy89KUYkg,2
Utopian Mindset,NA1,na,americas,yIvwOFQ30u5GioRGRh4A53ynjL45DKNDemaeBHVSRWhh8pb-cEdrlL1q4eQLM0eJzeTcvJmXwQCdAg,2
Toxin,WEST,euw,europe,lYRQvn4O8n7VjjckK0TylJm-CG6IL6iEq6UqM9AJaYRl6_OCzttFIgwP79t_CAZFgjI95qJ_qxmnEQ,2
Accez,IDL,br,americas,gDyKcC3imrsCEApbHmLsEjx6EU4wtIRkMwaOiYEl2Ybip8778ENQYik18cwaQYwr5b-tAiSw3QN6LQ,2
Cuzz,KR1,kr,asia,0Sik59Jzc7gZ06iH-qiTsTfMX3fREzf_SL00qBe2jqwbzi0jRP-6EF-46roQfMviW4StgbgluKKU3A,2
FURIA Tatu,10y,br,americas,x-4GKqEJDfawq7tjvMxj-7D7nONcftpNT4t3uWowuzZQ6-wAD6PL8Vgcdq9lsZhwSCMho08hN5FbVQ,2
dont mind me,faith,euw,europe,WxZImxS3J3rmSV0B5OgoKlBRrokw3lpqrpWnpvF-Biiw1jhz58o60ADcWI7Li8NzJVLvKoOimbyYmg,2
Barkoon,bark,euw,europe,8ciTX-hMJTPeIvqU04RgNm0nFGvNf3xTd3DmwNVAv065jShhnrD6QeU1Tar8ObDEhyl8rSDMUucxWQ,2
namelesss,1504,euw,europe,_qG8BijVXhzngYD6aZ7LuZzyhX8z7RkXWRzV5CGlGFNxXJRd0M33eHpHiftt9Mpg_ZU-j6H14rScag,2
Bonnie,BLDP,euw,europe,FAAUHrzuqlthC8vtClOtyLjjq4pUbNaD6a9RyEA5YoWoqenOmtSkCRcknDCKhKyUiZTHSG_L_A4E8Q,2
Rhilech,15105,euw,europe,Z_R9un-VTS2-kG7VWOaUHJZTVItbFy0lshBtQ4SvLyMmA64O4UAOerYJGA_U0SWOKwaPi_tyFzKC-w,2
fgdgaw,KR1,kr,asia,IvrXHnmF7oRcaJyciSM6nnHPBo3xZbjNfxyS-AWClupwOxlet4G1kd1ywlqm1xTGelnqDgFlmL5LQA,2
forward to death,panam,br,americas,J6kD56uBt4-4TXolE7ERXp-oqhCJF5AkQ698_jHTceCUi0ySMBdpBV3MGY_zkMHWLbCSy75uQlMVGg,2
Clid,1014,kr,asia,QED7KKRaC-LXXKc76klHYYxxrZqcGlqbfAXm9PSP2vwvgDcLCbIlpWhjpLuhNeO4q_izEHdiEgmV2g,2
DK21,Omni,na,americas,qsJ2ij0UpnUQ8X2Utz34bjEyLTzl0q_lZTAzuJwRyU1OZDAW1uH59GdQ-S6KSH9NbKK45iJO4Lcggw,2
CRN Jenritch,1724,euw,europe,Q87KlKwjPRS_ccVPn11YaK4xBqv1_KQ21xj2uKkLI7FCDbIZ4YREbaEf5VBkNWsF_qKo9BoorlXrgA,2
Kania,krkr,euw,europe,ksnNc0Om7yc6REtRDVZEqWDq4he-AbJbZ4de6QIH90cbBbw84Qzu1AhX3OM8VMuFpQAEb9qNDS7UJg,2
CYB Migas,2222,br,americas,7jhkHQ_DfWMeuuk2mkftFoThNcP5G6rCZ-0CdqbiEhk97kk0Qt5MuQsnEMKR8DhcYNQ6vE-vC3dabw,2
Fiszu,SDN,euw,europe,16EV-KVMTCE7uzDSk3dMW3xaTyzL2A1V3OJZiN57Ue4CBLEjMTjC_j3-xHAICL2UAz9H0IFpeG4dSg,2
halepli int acc,7dak,tr,europe,DUd5nembHX_fT5qcMcIpd_UHn62kqUdoQKLp1yjr__QEWsM58CyfWF3slg7kCCL38_5T7TiNYFBY8g,2
mi quang,hzt,kr,asia,JM6iYciPdlhet3pGcOWQ9pH-gekpTB8QYlEKQBbR8S90V7tniIvgY4NCx5uK_S_Ag7DOnvwMPGi0cw,2
Diguin,7648,br,americas,GGJtitvaCXOJEJSD3-FvIuUtNriSduaMbJAKxQpKD_6UpPVk7dAlBacQbxgJuLpEjtu7m38oiU4UKQ,2
MmSalvatore,LAS,las,americas,qzHbDHKT3PrfRcVEv2hyojl2UioMdelJME4dd9o1P1cSmW5a69R_CZOP8USFPB12C-vfSVg93nLnDQ,2
42 Thorden,Ged,euw,europe,Sv6BeQXelY4u_DrCKCtVfhOAkuV1jol7KEKvPrh75PoAUQHLrCY87jXDjTh6rbA1mvUoN-awjk5ApA,2
Issou001,BVRB,euw,europe,cl7zxswyPi6_Uj_pvgegi1BmZHPEz-AZAvMN0yQceEpRR0CaI_lf20s6u48H2WIFcPotrRf8FVb64w,2
ww1w,qqq,kr,asia,WTwH97iCva81VZkuU5817K6pln-spXgEVmenGkJ3JTEiWRBKCeGOOsjbVkOwtOd7akYEH1LtnDwRTQ,2
Kirby,0528,kr,asia,tiXaguqK6yw0i3Phr2bs5q-CkbXZjv3_eqcMuSJrKrcLiNoqiNgbiPAlyYGw1lPeXlPyc37iLBD6Jg,2
shinei Nouzen,SSJ,las,americas,XoUocPPOlSN2Vlfy1ascUuW5TSY7IZL_FP_f-PPKLl2U6JnMMO0Xuyokp0LP97HbKHU8ADa8SXLmnA,2
Drakesin4,DRS,euw,europe,PzOuHkU6VdCqZ2IBY12m824IgSjADXi3zbvOZ3iD1i3KGjfg2z_kg26YRPa23Dbrfq3AL6NHGq970g,2
wenzhoushuaige,1101,kr,asia,zuVbRRqXAdYvgoiLZ3SdKWw5VkpgarG_pdXc_0XDOF-s324OG6n4f_CZVQmNxeVyP6oItQMDGAv_eg,2
wjdrmf,djfuq,kr,asia,ZqnHN0cinoZgdnKPkiQWzLDMmRnl0iRbaphJV6snYaVr3H7LUSMZOxJwjLXnQ2hlEjdPCPiWy7Cuig,2
apolo,julia,br,americas,qdMvoBRcW1emOttIDcASjKWnbS4D8EisstxRVgjwbIrhnk9m0q3VfNDTrFN-kejQMMIyWxkujra56w,2
Lelouch,Azes,br,americas,fVXKSkATbEOdqlO2bOJS6X2Y9V4kICsl7gfcw4bCpFilNGm7ELZRkRCkooZkv7go9kdaRen_7Bblrw,2
Hasmed,2002,kr,asia,bqYsPnc4Hj59BUTgqraTvuiHqhkAy_HPfDE0I56XPNz4FiPninNbHiLxcTDFJh8DFrcZ9MsPMpSnzA,2
Raptor,KR123,kr,asia,7zNx6v4IApdVzwPDnl6mUJg3JfQiv5KjFF-wo60zbY4AvdMtAI3KFpBSPjas3NT5O_UvXe6tIdud1g,2
B2U Nord,B2U,euw,europe,eU5n3zfu4zQcYcaGMqLwzcjrFqyQLXBNSK4lBc4XdU1a5bv_KgDYvOeKKt96WeGmbK-TJuh-84_kyQ,2
Prime,LDMP,euw,europe,-JO-yahRr9IRlpcPYCBZaqMSsW0pEMvCAK1ceu4OiJcGde7yCu586fpUYO_PkMs3Ti5f3pn-oeUKoA,2
lyncas mad kid,lync1,euw,europe,uFL4jeVc-V4DCMWlvemq-wZV3FjOei8gOyx7jN6PiqdQlxWtj8b2QcNbKGyseSfwZ7TfOCp7LPiLtg,2
lmln,KR3,kr,asia,-hdJsGHp1kgTlcvAH7hAn2UMsRBuFDVJN6g2pppc71YnaLbziunJhEoX0FQf2kNfy7_xjwCKgCyxUA,2
guz1vjppr0kut3,2810,kr,asia,fELzDea3ovzGsGDGkLhALqT1nYiboGvOBGyhvwPLP4DnIIaVd22EnxisRVMazeiarw5M8UDSVtQyXA,2
Juhana,DRX25,kr,asia,aHfV0-0ciZ0iGVtutDzd524el-7lmFDeHHtE1dgWa-SAjRRAvvvuKOenruE6-8WCUSj4uhPfMEnCJw,2
Aprox,KR1,kr,asia,ucS6Af7DD6mPChXkzphYRPASwj3NBoGMJYANhf30r_bBdwq7cYaYsdn_Z2nfXJSPO-5oJWh2noMbvA,2
DK Sharvel,KR1,kr,asia,FKIe5M7le6Umd4r6BsdbxWRVKBhrpPM0dLNfHIaHNCcyskaKjcjEYBbciCPioclew59A0otdOGpYew,2
Shylie,KR1,kr,asia,gp2JW5KvHoz-blhx9pPrhEA-fk2a_JPtoTHoWuT0sE4ocyr0Mn7FtCtXPK2jJ9NaZMdQ_ONuNVVH9Q,2
Siatdi,EUW,euw,europe,0E2wEsLeAOHBhQxOk0yLUgAGMtOn2Pe1Imu4yQFECMzzs3yP2fh7Rg0Uq0CyGC9rbQ2r4oogjr9GBg,2
Gobiee,Naa,na,americas,QJQEixJv2xUINFzslW79HmbEDoP9DWY_KHsjl5JUSNAZX_9GE_MaZpuxpowRYc1CAQ6bt0kVrOPM3A,2
TeaBagurin,DADDY,euw,europe,3vgRN9Rzl65wXL550R9ZajVGgm_VyNierhyu-U5CUnMOoBCPt05Y7ao4VEyS-cK0wl8pOUpcD77oVg,2
Gavin,BR2,br,americas,auYThfQ96AV-741X8XJ080zYcKA529nDhNAydbRBpwp1GNUIhPyZiMKu1D7CEV7oBV-2qW3k-nshOg,2
Sirius Can,CAN,lan,americas,axyhPQzYl9hoGlSyESeSwZSnzFDa95qkpFLzRaGSBiZ7XQLkN9Ovmd1alAvzyY57f2C4KkDFvUgnAQ,2
Zweek,Tweek,euw,europe,qQxHc6X3Q8FDj8n5jdaH_hY5MYJJI30DpXwW9ff7iXgN9frQ3ewhKonpOg_Xs0iVq7pO4xXagKFixQ,2
LostInYourEyes,soul,euw,europe,4lqWvlB2xvcwK9uQC9nmJBf4tzq6_IlimK2966UEqj-DOSi5wIiuSnbBT3X_Xu3aDVM2DN9kNaGOfw,2
Sensation,KR2,kr,asia,Ifhe5z5Z4GevNQDe6PcJ08IGJdNm2ISuoFWdPz6y7PS_4ppDbgJ5BADDH0aCZWlWEDbapDOd54GH2A,2
Lion,KR5,kr,asia,iUdFThPcop-ItKAdg7tp0pY5zyCc3aF0Ro0PeuhAS4h2EQ6-yHLjEd71FpKc-VHkuj5HyY0Ebg7FUg,2
Rita Torre,CRUSH,euw,europe,fAIxVl805LB99WDHGvc04Df1W14juRez8RE87_fOZiXKdcVW9v5275_ePE6jmYB_6UoKbXY_lG8xNg,2
ChiddyBang,PERE,euw,europe,fFSGNrgiI4VbFYVQ4FT2umecyb9mDsz5A4pAm1LSn--W8Wtg46yelV669l2wR-7FFautOdMKOg8Ntg,2
Lowelas123,EUNE,eune,europe,K3SsHFdh0Mm_pJK-qHKOY0bwIHi5F8T9g60ClGSdzjwaxCrWk44GKItBHso7XsJ-Yvxll9RxD_Kp-A,2
ReformedSalvyar,1234,euw,europe,nT9R3EX9DBrcFtqV7zo1QzkscXn2EMpDY14Jy6AVCrWyAzselfiUXSRDDHAQs-1S9UQ-8mYsXmfr-g,2
Six Months,0000,kr,asia,GYeCjvmGmA_szEPJlJzhMFvajSpQma38b3r8oGbLOme6tjc_w-gotBNo0MW6djx62FOgB4-5t2BE3g,2
02 01 04,diyi,br,americas,ybDYFHemsNH8x45UHZNg5PVIyXQLvC0csOJEakLE1Fu9QXDvtWDEBjF9QIPOWh6nswiKXpVWLsp8_g,2
DROGA CANIBAL,115,euw,europe,BOlQfxY-8bO_rmSsM5IPHhFgUi0cztxHnLT6peUhQFFtgm2NggMH4SEePDp3fCffK9nkvG9_4wFedA,2
Sector Agricola,001,euw,europe,tpTTtLiNLYLEn8dvQNZEgLzu57NNbZHiuCG40MF8CYbXkEqZTo8hhHmn7eSVPst-C2QWWuxRQU0CVw,2
Rhythm And Blues,YBJ,br,americas,j38c3pOQkmVa7ehslZpSANoI_lCuPR0VpkFOnxbPDXeDPlo-LsCXlrgwriDg3EEa8eGVeQXQKbxKTA,2
menor capeta,003,br,americas,RNO2y9A1DfKJAqeyxVX_ORoo3aT33gMo4Mgz-DTeNNu0ZH7iGXgfJ95WOdN2UJdZKeZIRPU3V3NsrQ,2
pop9,KR1,kr,asia,MErlAHKIoBacTa0RUTqq5LPlZCtOEKhpS-S88axeSxgTyrwY91ZtNREimxjblwAhWzDfvVey8xLXSw,2
lastis,1234,euw,europe,7KSA_CGIJbppqyFM0luodAYyHYidHQ57_Q4r-wiZ6VJRFYkHbzpfddcr8vqg3ofGk26M-IhlVMr8LQ,2
Tren Abuser xd,EUNE,eune,europe,iIzrZpfNOC_4mbgIoEbyRCOtHwWbz3HJpXpsTM2sJnW5rLRW1gOrNl7iGcJB9vmfTMB6sb5aEn8X0w,2
Drizzle,ADCY,euw,europe,SjBNgWekpoMMvfJpNyxaSVe6d9_a5UBIi_VmFh4klhGaoLOiLojNWtBkRpG1nBiPIRtpwDvi-2yXHA,2
Eudemonic,222,kr,asia,UkiafxA1uwc7a20HEMY8dPIciRnKwkYxGreq8DKCAsrk4vkor4Y354lsaui6Cb5IxNxJLLfcoB44fQ,2
Tacto,secs,eune,europe,6mIuqnl0Oh1qmSQTwAn8rsd--bKOyd77d_NDX7kzHQefvibl9508eSu_K8CuHlt6yi2Vpo-2rP8t_w,2
ww1w,qqq,kr,asia,WTwH97iCva81VZkuU5817K6pln-spXgEVmenGkJ3JTEiWRBKCeGOOsjbVkOwtOd7akYEH1LtnDwRTQ,2
Merkury,0725,kr,asia,aWIzhWtxCoWr4ILYeg8_EdRTEYkj0Avrxbr7VsVo242V_7Q2aLrShnzBc-EQJAA6GwHcXzZ34P98GQ,2
a kind child,leaf,euw,europe,SUz8ef0bNjbqxIrk59jRlDF4HDpejEgESveYwtuk4Xj-wHd1PTXVpBUG3N4YNVx4s1cIeua3EdtEXA,2
7uki,cn1,kr,asia,Jzj_5aij7D4XIQM3kL2d8pc2HAFZzUPezNnPzOgHLSxxVzriHXYTm0DerA6BmSKs5V6qbyJ7Hir0gg,2
Mamus Mentality,0000,br,americas,cuUvr0R4aOKqo_SBBIf6UzSOJs5pP-ES5sEd5-CJNHhEUG92Fy1lp1MoEhOv4y3PPzhz_tp-0txFJg,2
Raiiken,0000,br,americas,e_v7L4HpYCTkemGyV3W-J7H0wRTcVpvCyLdE0tGmdu4l9chfbw1XPSZk15X9w7Nr2NM3WiOK029NdQ,2
Miraitowa,zxs,kr,asia,55X9B1eqzWC4WDacWrrRdQHSd8tqwAKnXt4kHHJRH0BM2aQJ_ddhkdqycXDnhU5s45S5w72nhltCkA,2
Conceit,6720,na,americas,0SzkaRGQISb--GU6Hn4dxebcH8rTul55uaZGRzjyOffDZJZQ2B7QPqL4f6C2n6Yan7rqBbLimCjaAQ,2
qualzy,333,euw,europe,EYb_Q3e_IVJL_xIR3O0-AcJTFJtzMW_iCYUgKwTZFqMiFAy81e0L7T4VdJ4uhez4ejXsspVmxy0Qzw,2
ill try,EUNE,eune,europe,zmQ7sKbP3ZXM9GzRjPtuMBPONV9L4fBg7Tx8Zxi08Jiajpef-I6QWCS3zzXfp06-sFQ9EnzJh4gt4g,2
Emilia,Bella,eune,europe,oltWDm1Sxpp6Jv6w-vZshRUUMgirfpdySOFXw1SlHHQhrxBrGh3X2CbQZlS9o1tpVeXbkl_R7plsiw,2
DarkSeeZe,JGL,ru,europe,qoB-s5eHUrH-zMzbuL8-IRi7grbnF9np1j7WdrCvgU8I9HYrrbnlixihHRKXbBtMapfYKCqX9azIBg,2
Banned,Euw2,euw,europe,5juuvbpa38ZiMqXXPTKt1wgrFMyETrltDtmnwSdAgK4oXZbCvaDiAmLH8drO5j_aAEwHZuxWjygYMQ,2
Zuzek,EUNE,eune,europe,,2
RASPALAPIPA,666,las,americas,1Ke483pWZjDvRn2g88kKYIVLxlK6OwEYQTtrDjU8H4mBZkphXv7ZyrL7G64BzjATyQXvmabV6y-2cA,2
qwer1234,4343,euw,europe,dlv-JFFnWgRpmLsxle6QQukASfqRKo-Vrbf8CwNMYLxFnPrXHTI5YSqql7QA7awUkJAuDhIES1wEBQ,2
sad and bored,idgaf,lan,americas,2YMKQUYblUNyRqhjgMK_IJ_n2YdCE_cF1lVaZHq-70g9vhddf5Wi9skPbegbkhc8J9Ijvz0MXE0nkw,2
wenda,0000,na,americas,5eb5iEdIsC6G69631PU9-ZYwTKpW3FAwKxrFN7e2XAqmiaLLfxU2mKtfiiKW_U1GgjRtE_Z_uJckVw,2
wakanda for0ner,rito,kr,asia,3L69NUO-g8EnDyMj8YjEZ-8caVPEvyXNk0HF-xaWlxCEVCKUidNY4gjSegY2BSji8u8vViuoVjNuoQ,2
VemTranquiloPoh,BR1,br,americas,Tpu6TLzejulC54LEJSie8hulB18T0DqWzOk0IhD_arBms-1741uWfth6vAQCqbK0SyJh1XQx_6wgKw,2
NaturePhotonics,2802,na,americas,xf_CkqnC48F9EKTzae6QqElE4n0QY5x9DwvDJlW9UfVaR_A1iJXqcQdk3iuUSKiuxpppZTmi3y_lIQ,2
Hecarizmi,EUWJO,euw,europe,fTbpb6g406EcuLDk2J_kxpfHrGR9xi9vMwcFAP56Nk4Jp_m3TZjIbCvWkfUsdJuM9b8aW3TZf7f0Fg,2
