Name,Tag,Server,Region,puuid,Key_ID
ThePack21,KRA,euw,europe,Us4FZfCZyq_6Ywgb2ijo_jkmuoGr12sQqr5CGlNwexoMBmQ1RDHzYQ_gz7ZH4hnDQygX-JgY5d2dfg,11
Fel,Fire,na,americas,clNygL-oVNRR0CrZjG4b4HhVAS8AgNEag5RmVte44ZKBMUU0huUP5XWfAMCZuheBxjGOjeFWUVqLyg,11
Ahsokaa,EUW,euw,europe,roLN_w3FuG38foXiIvGBUNmXEgl8cUptkKU-EmB0b8JnN_105NL3n3d10OLVf_33-1ACVyKbpRsxRw,11
gaman,7897,jp,asia,0QndBZD1CoSIMevU0hv_Cl3aFeQt1FqVY4nmmaEOHw87hnHrWytBMcF37K3LQ7vdXsOXAvFMvJNwSg,11
KAWAII BAAAKA,ALULA,euw,europe,T_hSnw-uUE4Z0CDqMVLMBx6hRuB7ZdkiXPZpAd8oAoUXVZR7-4wSPayU9ICCduiLOYl43TUjkCjRbw,11
LFT Myunseo,LFT,kr,asia,fz39OGEbP8ykeybSlWCcifBxCyF6CYX6JEYFddlFzcrd4tFOY-BnA33ZUo_IVCIHLB0lJtMfVA_g4A,11
bot gap victim,456,euw,europe,DOXRwtjN2_JOFjSwblhApDT2D2hVeVKU4XrH7sA6X8nwnAWmGDHmBAc5L2HG4upoR1V5x2tn9Sc2QA,11
GLB Skarnerotto,Edo,euw,europe,HI__9d1K8OVJoGzAteYjKArw6_5GEwAlwj2k0jTHS7HrSDK2ZZWeJpz7zDABwVPdUHFuhjrXvTzcBw,11
Razer,01221,jp,asia,6O33eZBLPzkPWci1LhDBYGkRbqSdHigrBFie6uWb0HdpOQ2MsEDBPluZFa0dG5Q4TR0dulp_11YWuA,11
cute xin,0912,kr,asia,M3Pkfh5aCyaeKh0CFjTfwTj-NZJtjHuxJ-bUwwUtGbDW2LSueJ1D1gA3sEHiw1LKIc7TS13SM0li7Q,11
EpicDistortion,NA1,na,americas,TIXeCZNxWk7YNLMTrSondia0kTNVk_jNMcxHnE2YP-Rm505L1DtqaySIFUAkFQI-zX4aB6JnHjpBrA,11
PILLSIS,8941,eune,europe,yUQ0MMUBmz9flvovfdBnQfsLuukl9jFoiBU131y-hQj5QB-jCZ9pVMcZL6RVpme1dWZF9WhfI0WhfA,11
