Name,Tag,Server,Region,puuid,Key_ID
hidebush,3333,br,americas,qenZti8E3vdOTqOKslcpdiWUn0MYf8TcP5fukXrOhLVfg1nvVz6UtbSprooMihR6-gWYQYpskRUw4Q,9
The Kid LAROI,RVNG,euw,europe,i3KTHtyKrwC_mDjVz_0F4Qt3HeoTdgROMW04JUq30NuETuuGRtbTU3cNaoBlz-koQMV-vYXjSj2nog,9
Zed Abuser,Zed1,euw,europe,vZPCpi_Vxr5gVXFg11j5bY1ypT0owJH7kjB0CeVbyL92sJ-HUiju9Hkmdh92sYzOq8UUoHstdFHB5w,9
Zhane,TR1,tr,europe,qTGFQywkQA8SmxeA99FDj2MCpSBXR1XyLRBsO3dmCgV1U9MPicM9_dNOup0rK2Kf0LsXKtHrBDM9Ug,9
CEO DO SETT,Duro,br,americas,PS01hMxb3Fm5JJdv9bNbh_CwH8eUoQ_Fc1PaBrDdAoPIaHIhNr8_pDL8L9GLHzAWBFhjQTP66OCayg,9
watsonN,LAN,lan,americas,OHvdW2eG6uY9J-i1IojqBnF-d86inYrm4FWoziF8v9lKLbT5v0W01g4qzMBni3FckO31xUV9pzcolA,9
Hide on bush,FKR1T,eune,europe,Nv5C8frCGlqowldZ5E03X9fpHEEVD1-vgvREJ1nhm0aXlTSjQT5INOIoiKlEJCfTFlIg0CtGXxrEWA,9
Zolctor,7355,na,americas,y5Q4srVZF-fuyhvdHS5NRfWr6zJLv7dQy6T2uq11kfIWe3u-C4MrSA3mMOifNrCc4N1_dlx_Im7w_w,9
shamoluotuo,003,kr,asia,Iavj7c4HhS4y3TugZ5K-tPT4ew5U4YU9yUenS_YrVhlTGpYHtX8Df-wxc44gWJhN0ezbq8uheSD7uw,9
U Never Loved Me,anna,na,americas,fHpoJvAcq-ECRkKPxSorR3DZO6fhiLXbDKzLdbjzd6BYJIFo7wYa95JHEJzRZajOZ0tXXc-LdTcKFA,9
Laik Atak,TR11,tr,europe,lkTwkOBU28sU2gbSRBUVCRt47bBAAOj7DhrZbSkJRoXiTANbCcFI67zhglxQQbNb92GIfNAIHGKx5w,9
GJKINGS,NA1,na,americas,KB5Udc3C24KB5Ap85hCgol7ICjlXyTyxHMmYkrTMWgwJPOQQRyFUouz13qiMaH4N8QEH_q6sLWYVvQ,9
LOVEBALANCETEAM,EUW,euw,europe,6-JNkv0cEcLPkgmaeGBLwnktH0i85EV1zxcmsvuRlL8VPdDoWNzAtRIeKnfO8LRPstGiSvqHGFTKrA,9
