Name,Tag,Server,Region,puuid,Key_ID
DISBORN,TWTV,euw,europe,OmsDOq5h9U5suuaQW_-Q2drY6Tv5tySgkv2E58bj7RPrTAxtZSVbBoO8Zcht-o_xZeMTCYajxlnVYw,4
Tonyhawkk,EUW,euw,europe,EpI-2Z-J30lQv-ZTZqFFB1wSqpj8Co-SUoHX8PGdiVLQaRwOOLC69BXICUtMSOH_N9_Yp6BKXCV6fw,4
user 1374,NA1,na,americas,Qn38FORd99msIwZYOMp-UPyvuMO3eS0QRR1eN9qtAYkPlbINIuIK_l5ZUDO6HubPfxuXy0qJOorGPQ,4
N Y,KR2,kr,asia,y_mhGFeNqrk3209JO1vrn8l7TG9eqqiLRklukeeMeYzYxmjrhSHHZ-RjTHirl5VFtSgYuSlviY_J3g,4
Kyouko,Kyon,na,americas,9xgP01spLo4NRvsaN6WlY2v5jWc_n5uAdb_PZ1C2y1eZIbZbeXiZ0-OeB5JwdHIMfYBAJjRrpN90MA,4
www5757,KR1,kr,asia,zJEnssJZ8C5oUs8qtGkDGV6eh7xLYK6Lf_ustCAWNjxhbasebqKLpBxNYDHpyqBSFV0wMmuFzn74Vg,4
Shaco,FKLON,lan,americas,LuR-3ZwqI4shGpZYQC3ujy1fyo9livpjvHKXaK9-sSQ57V8UC3lUHrVfgwnC9bTsjtUZXYYS402b9A,4
GL Sixen,DCMS,euw,europe,RuagTxSpT3M83oC7AKx31KsEmDuyHRw1YgduCRIFu0BcMNolYgxxsufBfsvoZ-SnCHaZb5MLpRRIhg,4
Shaco Bitcoin,2157,br,americas,J_8MmoM5tlm2k6ERRbq0_x-zds011DFqNtkFY0-Mq-JMIG5RWyeICTjGqBvH4UPpTsEZWFUj0TLTYA,4
Frosted Cupcake,turd,na,americas,gWdW4AKO8JbK1jRHvvtluHo5T59nn6URdTqIyh8uiCRk_hcvGmgR2kTVLvJlDXBvKVQagfK4aHvUtA,4
ujo,000,eune,europe,YQOz4-W0iOqop0EBDJ9f_5_6ebzBJfob3cDmyKyPyOe3JrJ3y5ki4KNiKsGSbPVYBSiRzpzxz8sNXQ,4
doyeonie,0626,kr,asia,H54ng9mGW7r9LEeVc_UPjjzzqKAA3t2FtpGyYEwSuSPdRiD05QK8ggG4A5dRq7I1npfebAoSH7ZGgQ,4
B2U Nord,B2U,euw,europe,7DIrO_lDIP5zS9U4KtVUJ-1Gd_YxmvNznNmmV7KI14h337y3W_72SWHXyyRhBCNqcHoZmRpCjDIj0w,4
YCoyotlY,br1,br,americas,__cnVQ5ShYq7HTfMmTFuilikkJp7WRwGbyomV4e70fsPKzCIxUtRYHC5qXkZu88Hf1KfJdlrwifflw,4
Lavigne,sss,kr,asia,y6Bw19ChzxJycNRYNLH3Hd6pPR-GAgF1GtTfTbUTCB6DIVcZHY1fpbrUwkqPD4rkjxekFQgYDaKyoA,4
Paradise City,Luigi,na,americas,W73rJTT0yCt17lJkAxog5VnWlG_-9hiO-8bynvjziLMoazKtmXttJ2WatxH7036yLCOPrZYWy8GJIg,4
ttv freshrengar,clean,na,americas,03NSvpgUx8BZIoV-tdB33T_o3sqaMjOSxl3sV-WMUeKg6ttqhr7ZR_FktZ4Gq0955NTZsPqIg9bgHQ,4
Hungry Hunt,EUW,euw,europe,hKLXUvvW0I5LcEGGW5lySvyg8o4ozVaZsaoA3QxxLkaGZpvt4vEFbF8TnF0SJY9OAouUYpO2hTc_tQ,4
WILD SHACO,KR1,kr,asia,sXMndMOJCPTdII0iOay3g5wA-N72YGtRP5o7Qx8D0LtSMrtA78YQaXwI5MkOnTtcqbUPE6MjCrfllw,4
